0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,probas
2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1e-05
4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0.0008683605150214593
0,0,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0.0017267210300429185
2,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0.0025850815450643777
2,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0.003443442060085837
0,2,4,2,0,0,2,0,0,0,0,4,0,0,0,0,0.0043018025751072955
0,2,4,2,0,0,2,4,2,0,0,0,0,0,0,0,0.005160163090128755
2,4,2,0,2,4,0,0,2,0,0,0,0,2,0,0,0.006018523605150214
2,4,2,0,2,4,0,0,2,0,0,0,2,2,0,0,0.006876884120171674
2,4,2,2,2,4,0,0,2,0,0,0,4,0,0,0,0.007735244635193133
4,8,2,2,2,0,0,0,4,0,2,0,0,0,0,0,0.008593605150214591
4,8,4,2,2,0,0,0,4,2,0,0,0,0,0,0,0.009451965665236052
4,8,4,2,0,2,0,2,0,0,4,2,0,0,0,0,0.01031032618025751
4,8,4,2,4,0,0,0,4,2,0,0,2,0,0,0,0.01116868669527897
8,8,4,2,4,2,2,0,2,0,0,0,0,0,0,0,0.012027047210300429
0,0,2,0,8,0,0,0,4,8,4,0,2,2,2,2,0.012885407725321889
8,8,2,2,4,2,4,0,2,0,2,0,2,0,0,0,0.013743768240343348
16,4,0,0,4,2,4,2,4,0,0,0,2,0,0,0,0.014602128755364806
16,4,0,0,4,2,4,2,4,0,0,0,2,0,0,0,0.015460489270386266
0,2,16,4,4,2,4,2,0,0,0,4,0,0,0,2,0.016318849785407725
2,16,4,0,4,2,4,2,4,0,0,2,2,0,0,0,0.017177210300429183
2,16,8,4,8,2,0,0,2,0,0,0,2,0,0,0,0.018035570815450645
2,16,8,4,8,2,0,0,2,0,0,0,2,0,0,0,0.018893931330472104
2,16,8,4,8,2,0,0,2,0,0,0,2,0,0,0,0.019752291845493562
2,16,8,4,8,2,0,0,2,0,0,0,2,0,0,0,0.02061065236051502
2,16,8,4,8,2,0,0,4,0,2,0,0,0,0,0,0.02146901287553648
2,16,8,4,8,2,2,0,4,2,0,0,0,0,0,0,0.02232737339055794
2,16,8,4,0,0,8,4,0,0,4,2,0,0,2,0,0.0231857339055794
0,0,2,0,0,0,16,0,0,0,4,8,2,16,2,2,0.024044094420600858
0,0,2,0,0,0,16,0,0,0,4,8,2,16,2,2,0.024902454935622317
2,0,0,0,16,2,0,0,4,8,0,0,2,16,4,0,0.02576081545064378
2,0,0,0,16,2,0,0,4,8,0,0,2,16,4,0,0.026619175965665237
2,0,0,0,16,2,0,0,4,8,0,0,2,16,4,0,0.027477536480686696
2,0,0,0,16,2,0,0,4,8,0,0,2,16,4,0,0.028335896995708154
2,0,0,0,16,2,0,0,4,8,0,0,2,16,4,0,0.029194257510729613
2,0,0,0,16,2,0,0,4,8,0,0,2,16,4,0,0.030052618025751075
2,2,4,0,16,8,0,0,4,16,0,0,2,0,2,0,0.030910978540772533
0,0,4,4,0,0,16,8,2,0,4,16,0,0,0,4,0.031769339055793995
0,0,0,8,0,0,16,8,0,2,4,16,2,0,0,4,0.032627699570815454
8,0,0,0,16,8,0,0,2,4,16,0,2,4,0,2,0.03348606008583691
2,0,0,8,0,0,16,8,0,2,4,16,0,2,4,2,0.03434442060085837
2,4,16,16,0,0,8,16,0,0,0,2,0,0,4,0,0.03520278111587983
0,2,4,32,0,0,8,16,2,0,0,2,0,0,0,4,0.036061141630901294
0,2,4,32,0,0,8,16,0,0,0,4,2,0,0,4,0.03691950214592275
0,0,0,0,0,4,0,32,0,0,4,16,2,2,8,8,0.03777786266094421
0,2,0,0,0,0,0,32,0,4,4,16,2,2,8,8,0.03863622317596567
2,0,0,0,32,0,0,2,8,16,0,0,4,16,0,0,0.03949458369098713
2,0,0,0,32,2,0,2,8,16,0,0,4,16,0,0,0.04035294420600859
2,0,0,0,32,0,2,0,8,2,0,0,4,32,0,2,0.041211304721030045
0,0,0,2,0,0,32,2,0,2,8,2,0,4,32,2,0.042069665236051504
2,0,0,0,0,0,32,0,0,2,8,4,0,4,32,4,0.04292802575107296
0,0,0,2,0,0,2,32,0,2,8,4,0,4,32,4,0.04378638626609443
0,0,2,0,0,0,2,2,0,2,8,32,0,4,32,8,0.044644746781115886
0,0,2,0,0,0,4,2,0,2,8,32,0,4,32,8,0.045503107296137345
0,2,0,2,0,0,4,2,0,2,8,32,0,4,32,8,0.0463614678111588
0,4,4,4,0,4,8,32,0,0,32,8,0,0,0,2,0.04721982832618026
8,4,2,0,4,8,32,0,32,8,0,0,2,0,0,0,0.04807818884120172
8,4,2,0,4,8,32,0,32,8,0,0,2,0,0,0,0.04893654935622318
8,2,0,0,4,0,0,0,32,4,2,0,2,16,32,0,0.04979490987124464
8,2,2,0,4,4,32,0,32,16,2,0,2,0,0,0,0.050653270386266096
8,4,0,0,8,32,2,0,32,16,2,0,2,0,0,0,0.05151163090128756
0,0,8,4,2,8,32,2,0,32,16,2,0,0,0,2,0.05236999141630902
0,0,0,0,0,2,8,4,0,8,32,2,2,32,16,4,0.05322835193133048
2,2,8,4,0,8,32,2,0,32,16,4,0,2,0,0,0.05408671244635194
0,4,8,4,0,8,32,2,0,32,16,4,2,0,0,2,0.054945072961373395
2,4,8,4,0,8,32,2,0,32,16,4,0,0,0,4,0.055803433476394854
2,4,8,4,0,8,32,2,0,32,16,8,0,0,2,0,0.05666179399141631
2,4,8,4,0,8,32,2,0,32,16,8,0,0,2,0,0.05752015450643777
2,4,8,4,0,8,32,2,0,32,16,8,0,0,2,0,0.05837851502145923
0,2,8,0,0,4,32,4,0,8,16,2,2,32,2,8,0.059236875536480695
0,2,8,0,0,4,32,4,0,8,16,2,2,32,2,8,0.06009523605150215
2,2,8,4,0,4,32,2,2,8,16,8,0,32,2,0,0.06095359656652361
0,2,8,0,2,4,32,4,0,8,16,2,4,32,2,8,0.06181195708154507
0,2,8,0,2,4,32,4,2,8,16,2,4,32,2,8,0.06267031759656652
4,2,8,4,4,4,32,2,0,8,16,8,0,32,2,2,0.06352867811158798
0,2,8,4,0,4,32,2,2,8,16,8,8,32,2,2,0.06438703862660944
0,2,8,4,2,4,32,2,2,8,16,8,0,8,32,4,0.0652453991416309
0,0,8,4,2,2,32,2,0,4,16,8,4,16,32,4,0.06610375965665236
2,2,8,4,4,4,32,2,0,16,16,8,2,0,32,4,0.06696212017167381
4,0,8,4,2,2,32,2,4,4,16,8,2,16,32,4,0.06782048068669527
4,0,8,4,2,2,32,2,4,4,16,8,2,16,32,4,0.06867884120171673
4,8,4,0,4,32,2,0,8,16,8,2,2,16,32,4,0.06953720171673819
0,0,4,0,8,8,2,4,8,32,8,2,2,32,32,4,0.07039556223175965
16,8,4,4,2,64,2,2,0,0,8,4,0,0,32,2,0.07125392274678112
0,0,4,4,2,0,2,2,16,8,8,4,2,64,32,2,0.07211228326180258
0,0,0,8,0,2,2,4,0,16,16,4,2,64,32,2,0.07297064377682404
0,0,0,8,0,2,4,4,0,0,32,4,2,64,32,2,0.0738290042918455
2,2,4,8,0,64,64,8,0,0,0,2,0,4,0,0,0.07468736480686695
2,2,4,16,0,64,64,2,2,4,0,0,0,0,0,0,0.07554572532188841
0,0,0,0,0,2,0,2,0,64,4,16,4,4,64,2,0.07640408583690987
0,0,0,2,4,0,0,0,64,4,16,0,8,64,2,0,0.07726244635193133
2,0,0,2,0,0,0,4,0,64,4,16,0,8,64,2,0.07812080686695279
0,2,0,4,0,0,0,4,0,64,4,16,0,8,64,2,0.07897916738197425
0,2,4,8,0,64,64,16,2,8,0,2,0,0,0,0,0.0798375278969957
0,0,2,0,0,2,0,8,0,64,4,16,2,8,64,2,0.08069588841201716
2,0,0,0,0,2,2,8,0,64,4,16,2,8,64,2,0.08155424892703862
2,0,0,2,0,0,4,8,0,64,4,16,2,8,64,2,0.08241260944206008
4,0,0,2,4,8,0,0,64,4,16,0,2,8,64,2,0.08327096995708154
4,2,0,0,4,8,0,2,64,4,16,0,2,8,64,2,0.084129330472103
4,2,0,0,4,8,2,4,64,4,16,0,2,8,64,2,0.08498769098712446
