0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,probas
0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1e-05
0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,2,-0.0033913945578231295
0,2,0,0,2,0,0,0,0,0,0,0,4,2,0,0,-0.0067927891156462595
2,0,0,0,2,0,0,0,2,0,0,0,4,2,0,0,-0.010194183673469389
0,0,0,2,2,0,0,2,0,0,0,2,0,0,4,2,-0.013595578231292519
2,0,4,4,0,0,2,4,0,0,0,0,0,0,0,0,-0.016996972789115647
0,0,2,8,0,0,2,4,2,0,0,0,0,0,0,0,-0.020398367346938777
2,0,4,8,0,2,0,4,0,0,0,0,0,0,0,0,-0.023799761904761907
0,0,2,0,0,0,0,0,0,0,0,8,2,2,4,4,-0.027201156462585037
0,2,0,0,0,0,0,0,0,0,2,8,2,2,4,4,-0.030602551020408167
2,0,0,0,2,0,0,0,2,8,0,0,4,8,0,0,-0.03400394557823129
2,0,0,0,2,0,0,0,2,8,0,0,4,8,0,0,-0.03740534013605442
2,0,0,0,2,0,0,0,2,8,0,0,4,8,0,0,-0.04080673469387755
2,0,0,0,2,0,0,0,2,8,0,0,4,8,0,0,-0.04420812925170068
0,0,0,2,0,0,0,2,0,2,2,8,0,0,4,8,-0.04760952380952381
0,0,0,2,0,0,0,2,2,0,4,8,0,0,4,8,-0.05101091836734694
0,0,0,2,0,0,0,2,2,2,4,8,0,0,4,8,-0.05441231292517007
2,0,0,0,2,0,0,0,4,4,8,0,4,8,2,0,-0.0578137074829932
0,0,2,0,0,0,0,0,4,4,8,0,8,8,2,0,-0.06121510204081633
0,0,0,0,0,0,2,0,4,4,8,0,8,8,2,2,-0.06461649659863947
4,4,2,2,8,8,8,2,0,0,2,0,0,0,0,0,-0.06801789115646259
8,4,0,0,16,8,2,0,2,0,0,0,2,0,0,0,-0.07141928571428573
0,0,8,4,0,16,8,2,0,2,0,2,0,0,0,2,-0.07482068027210885
0,2,8,4,0,16,8,2,0,0,0,4,0,0,0,2,-0.07822207482993199
0,2,16,4,0,16,0,2,0,0,0,4,0,2,0,2,-0.08162346938775511
2,16,4,0,16,2,0,0,4,4,0,0,4,0,0,0,-0.08502486394557825
2,2,16,4,0,0,16,2,0,0,0,8,0,0,0,4,-0.08842625850340137
2,2,32,4,0,2,0,2,0,0,0,8,0,0,0,4,-0.0918276530612245
0,2,0,4,0,0,0,2,0,0,0,8,2,4,32,4,-0.09522904761904763
2,2,32,4,0,4,0,2,4,0,0,8,0,0,0,4,-0.09863044217687077
2,2,32,4,4,4,0,2,0,0,2,8,0,0,0,4,-0.10203183673469389
2,2,32,4,4,4,2,2,0,0,2,8,0,0,0,4,-0.10543323129251703
4,32,4,0,8,4,0,0,2,8,0,2,4,0,0,0,-0.10883462585034015
0,4,32,4,0,0,8,4,2,2,8,2,0,0,0,4,-0.11223602040816327
4,32,4,0,8,4,0,2,4,8,2,0,4,0,0,0,-0.11563741496598641
0,4,32,4,2,8,4,2,0,4,8,2,0,0,0,4,-0.11903880952380953
0,0,0,0,2,4,32,4,0,8,4,4,2,4,8,4,-0.12244020408163267
0,0,0,2,2,4,32,4,0,0,8,8,2,4,8,4,-0.1258415986394558
4,8,32,2,0,0,16,4,0,0,0,8,2,0,0,4,-0.12924299319727892
4,8,32,2,0,0,16,4,0,0,0,8,2,0,2,4,-0.13264438775510204
4,8,32,2,0,0,16,4,0,2,0,8,0,0,4,4,-0.13604578231292516
4,8,32,2,0,2,16,4,0,0,4,8,2,0,0,4,-0.1394471768707483
4,8,32,2,2,2,16,4,0,0,4,8,0,0,2,4,-0.14284857142857144
4,8,32,2,0,4,16,4,0,0,4,8,2,0,2,4,-0.14624996598639456
4,8,32,2,2,4,16,4,0,0,4,8,2,0,2,4,-0.14965136054421768
0,2,32,2,0,0,16,4,4,8,4,8,4,4,2,4,-0.15305275510204083
0,0,32,2,0,2,16,4,2,8,4,8,8,4,2,4,-0.15645414965986396
2,2,32,2,8,8,16,4,0,4,4,8,0,2,2,4,-0.15985554421768708
2,2,32,2,0,8,16,4,2,4,4,8,8,2,2,4,-0.1632569387755102
4,32,2,0,8,16,4,0,2,8,8,2,8,4,4,0,-0.16665833333333332
0,4,32,2,0,8,16,4,0,2,16,2,2,0,8,8,-0.17005972789115648
0,0,0,2,2,4,32,4,0,8,32,2,2,2,8,8,-0.1734611224489796
4,4,64,2,0,8,8,4,2,2,0,2,0,0,0,8,-0.17686251700680272
0,0,0,2,2,4,0,4,4,8,64,2,2,2,8,8,-0.18026391156462584
2,0,0,2,0,0,2,8,4,8,64,2,0,0,4,16,-0.183665306122449
2,8,2,2,4,0,64,8,0,2,4,2,0,0,0,16,-0.18706670068027212
2,8,4,0,4,64,8,0,2,4,2,0,16,2,0,0,-0.19046809523809524
2,8,4,0,4,64,8,0,2,4,2,0,16,2,0,0,-0.19386948979591836
2,8,4,0,4,64,8,0,2,4,2,0,16,2,0,0,-0.19727088435374152
2,8,0,0,4,64,4,0,2,4,8,0,16,2,2,2,-0.20067227891156464
0,0,2,8,2,4,64,4,0,2,4,8,0,16,2,4,-0.20407367346938776
2,8,0,0,2,4,64,4,2,4,8,0,16,2,4,2,-0.20747506802721088
2,8,0,0,2,4,64,4,2,4,8,0,16,2,4,2,-0.21087646258503404
4,8,64,4,2,8,8,2,16,2,4,0,0,0,2,0,-0.21427785714285716
4,8,64,4,2,2,16,2,0,16,2,4,0,0,0,2,-0.21767925170068028
2,0,0,4,0,8,64,2,4,2,16,4,2,16,2,2,-0.2210806462585034
0,0,2,4,2,8,64,2,4,2,16,4,0,2,16,4,-0.22448204081632653
0,0,2,4,2,8,64,2,4,2,16,4,0,2,16,4,-0.22788343537414968
2,8,2,4,4,4,64,2,0,0,32,8,0,2,0,0,-0.2312848299319728
2,8,2,4,2,8,64,2,0,0,32,8,0,0,0,2,-0.23468622448979592
2,8,2,4,2,8,64,2,0,0,32,8,0,0,0,2,-0.23808761904761905
2,8,2,4,2,8,64,2,0,0,32,8,0,0,0,2,-0.2414890136054422
2,8,2,4,2,8,64,2,32,8,0,0,2,2,0,0,-0.24489040816326532
4,16,2,4,32,8,64,2,2,2,0,0,2,0,0,0,-0.24829180272108844
4,16,2,4,32,8,64,2,4,2,2,0,0,0,0,0,-0.2516931972789116
4,16,2,4,32,8,64,2,0,0,4,4,0,2,0,0,-0.2550945918367347
