0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,probas
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,1e-05
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,-0.0011819070321811682
2,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,-0.0023738140643623363
4,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,-0.0035657210965435045
8,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.004757628128724673
0,0,8,4,0,0,2,0,0,0,0,2,0,0,0,0,-0.005949535160905841
0,0,8,4,0,0,0,2,0,0,0,2,0,0,2,0,-0.0071414421930870095
0,0,8,4,0,0,2,4,0,0,0,0,0,0,2,0,-0.008333349225268178
8,4,0,0,2,4,0,0,0,0,0,2,2,0,0,0,-0.009525256257449346
0,0,8,4,0,2,2,4,0,0,0,2,0,0,0,2,-0.010717163289630514
0,0,0,0,2,0,0,0,0,0,8,8,0,2,2,4,-0.011909070321811682
2,2,8,8,0,0,2,4,0,0,0,2,0,0,0,0,-0.01310097735399285
0,0,0,0,2,0,0,8,0,0,8,4,2,2,2,2,-0.014292884386174019
4,2,8,8,0,0,2,4,0,0,0,2,0,0,2,0,-0.015484791418355187
4,2,16,0,2,4,0,0,2,0,0,0,2,0,0,2,-0.016676698450536355
0,0,0,0,4,2,0,0,2,2,0,0,4,4,16,2,-0.017868605482717525
4,4,16,2,2,4,0,0,4,0,2,0,0,0,0,0,-0.01906051251489869
0,0,0,0,4,0,4,0,2,0,16,0,4,8,2,2,-0.020252419547079858
4,8,4,2,2,2,16,0,4,0,2,0,0,0,0,0,-0.021444326579261028
4,8,4,2,4,16,0,0,4,2,0,0,0,0,0,2,-0.022636233611442198
4,8,4,2,0,0,4,16,0,0,4,2,0,0,2,2,-0.023828140643623364
4,8,4,2,4,16,0,2,4,2,0,0,4,0,0,0,-0.02502004767580453
8,8,4,4,8,16,0,0,0,2,0,0,2,0,0,0,-0.0262119547079857
16,8,4,4,2,16,0,0,4,2,0,0,0,0,0,0,-0.02740386174016687
0,16,8,8,0,0,2,16,0,2,4,2,0,0,0,0,-0.028595768772348037
0,16,8,8,0,2,2,16,2,0,4,2,0,0,0,0,-0.029787675804529203
0,0,16,16,0,0,4,16,0,2,4,2,0,2,0,0,-0.030979582836710373
0,0,0,0,0,0,0,0,0,2,16,32,0,4,8,2,-0.03217148986889154
0,0,0,0,0,0,0,0,0,2,16,32,0,4,8,2,-0.033363396901072706
0,0,0,0,0,0,0,0,0,2,16,32,0,4,8,2,-0.03455530393325387
0,0,0,0,0,0,0,0,0,2,16,32,0,4,8,2,-0.035747210965435046
0,0,0,2,0,0,0,0,2,16,32,0,4,8,2,0,-0.03693911799761621
0,0,0,2,0,0,0,4,0,2,16,32,0,4,8,2,-0.03813102502979738
0,0,0,2,0,0,0,4,0,2,16,32,0,4,8,2,-0.039322932061978545
0,0,0,2,0,0,0,4,0,2,16,32,0,4,8,2,-0.04051483909415971
0,0,0,2,0,0,0,4,0,2,16,32,0,4,8,2,-0.041706746126340885
0,0,0,2,0,0,0,4,0,2,16,32,0,4,8,2,-0.04289865315852205
2,2,16,2,0,4,8,4,0,0,0,32,0,0,0,2,-0.04409056019070322
0,4,16,2,0,4,8,4,0,0,0,32,0,0,2,2,-0.04528246722288439
0,0,0,2,0,0,16,4,2,0,8,32,0,8,2,2,-0.04647437425506556
0,2,0,2,0,0,16,4,0,2,8,32,0,0,8,4,-0.047666281287246724
0,0,0,2,0,0,0,4,0,0,16,32,2,4,16,4,-0.04885818831942789
0,0,0,2,2,0,0,4,0,0,0,32,2,4,32,4,-0.05005009535160906
0,0,0,2,2,0,2,4,0,0,0,32,2,4,32,4,-0.05124200238379023
2,0,0,0,4,4,2,0,32,0,0,0,2,4,32,4,-0.0524339094159714
0,4,0,2,0,0,8,2,0,0,0,32,2,4,32,4,-0.05362581644815256
0,2,0,0,0,0,0,4,0,0,8,32,2,8,32,4,-0.05481772348033374
0,0,4,0,0,0,0,4,0,2,8,32,2,8,32,4,-0.0560096305125149
2,2,4,4,0,8,8,32,0,0,32,4,0,0,4,0,-0.05720153754469607
0,0,4,0,0,2,8,4,0,2,32,32,2,8,4,4,-0.058393444576877236
0,0,4,2,0,0,8,4,0,4,32,32,2,8,4,4,-0.0595853516090584
4,2,0,2,8,4,0,0,4,64,0,0,2,8,8,0,-0.060777258641239576
4,2,8,2,8,4,0,0,4,64,2,0,2,8,0,0,-0.06196916567342074
4,2,8,2,0,2,8,4,0,4,64,2,0,0,2,8,-0.06316107270560192
4,2,8,2,0,2,8,4,0,4,64,2,0,0,2,8,-0.06435297973778309
4,2,8,2,2,8,4,2,4,64,2,0,2,8,0,0,-0.06554488676996426
4,2,8,2,2,8,4,2,0,4,64,2,2,0,2,8,-0.06673679380214542
4,2,8,2,2,8,4,2,0,4,64,2,0,2,4,8,-0.06792870083432659
4,2,8,4,2,8,4,2,0,4,64,8,2,2,4,0,-0.06912060786650776
4,2,8,4,4,8,4,2,2,4,64,8,0,2,4,0,-0.07031251489868892
0,2,8,4,0,8,4,4,8,4,64,2,2,2,4,8,-0.0715044219308701
0,2,8,4,0,0,8,8,8,4,64,2,2,4,4,8,-0.07269632896305127
0,2,8,4,2,0,0,16,8,4,64,2,0,2,8,8,-0.07388823599523243
2,2,8,4,8,4,64,16,0,2,8,2,0,0,2,8,-0.0750801430274136
2,2,8,4,8,4,64,16,0,2,8,2,0,0,2,8,-0.07627205005959477
2,2,8,4,8,4,64,16,0,2,8,2,0,0,2,8,-0.07746395709177593
4,8,4,2,8,4,64,16,2,8,2,0,2,8,0,0,-0.0786558641239571
4,8,4,2,8,4,64,16,2,2,8,2,0,0,2,8,-0.07984777115613827
4,8,4,2,8,4,64,16,0,4,8,2,2,0,2,8,-0.08103967818831943
4,8,4,2,8,4,64,16,2,4,8,2,0,0,4,8,-0.08223158522050061
0,0,4,2,4,4,64,16,8,8,8,2,2,8,4,8,-0.08342349225268178
2,0,4,2,4,0,64,16,8,4,8,2,2,16,4,8,-0.08461539928486295
2,4,2,2,4,64,16,0,8,4,8,2,2,16,4,8,-0.08580730631704411
4,2,4,4,0,4,64,16,8,4,8,2,2,16,4,8,-0.08699921334922528
4,2,8,0,4,64,16,4,8,4,8,2,2,16,4,8,-0.08819112038140645
8,2,8,4,8,64,16,2,2,4,8,8,0,16,4,2,-0.08938302741358761
8,2,8,4,8,64,16,2,2,4,16,2,16,4,2,0,-0.09057493444576879
8,2,8,4,8,64,16,2,2,4,16,2,16,4,2,0,-0.09176684147794996
8,2,8,4,8,64,16,2,2,4,16,2,2,16,4,2,-0.09295874851013113
16,2,8,4,4,64,32,4,0,4,4,2,0,16,0,2,-0.09415065554231229
16,2,8,4,4,64,32,4,8,2,2,0,16,2,0,0,-0.09534256257449346
16,2,8,4,4,64,32,4,0,2,8,4,0,0,16,2,-0.09653446960667462
16,2,8,8,4,64,32,4,0,2,8,2,0,0,16,2,-0.09772637663885579
16,2,8,8,4,64,32,4,0,2,8,4,0,2,16,0,-0.09891828367103696
2,16,2,16,4,64,32,4,0,2,8,4,0,0,2,16,-0.10011019070321812
0,0,2,2,0,16,32,16,2,64,8,8,4,2,2,16,-0.1013020977353993
