0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,probas
2,4,64,8,0,0,8,16,0,2,2,4,0,0,0,2,-0.0508887125748503
0,0,0,8,0,2,64,16,0,4,8,4,2,2,2,2,-0.05188672654690619
0,0,4,8,0,2,64,16,0,4,8,4,0,0,4,4,-0.05288474051896208
0,2,4,8,2,4,64,16,0,0,8,8,0,0,4,0,-0.05388275449101797
2,4,8,0,2,4,64,16,16,2,0,0,4,0,0,0,-0.054880768463073853
2,4,8,0,2,4,64,16,16,2,0,0,4,0,0,0,-0.05587878243512975
2,0,0,0,4,0,0,0,16,8,8,0,4,2,64,16,-0.05687679640718563
2,0,0,0,4,0,0,0,16,8,8,0,4,2,64,16,-0.05787481037924152
2,0,0,0,4,0,0,0,16,16,2,0,4,2,64,16,-0.058872824351297405
2,0,0,0,4,0,0,0,32,2,2,0,4,2,64,16,-0.0598708383233533
2,0,0,0,4,0,0,0,32,4,4,0,4,2,64,16,-0.060868852295409184
0,0,0,2,0,0,0,4,2,0,32,8,4,2,64,16,-0.06186686626746507
0,0,0,2,0,0,0,4,2,0,32,8,4,2,64,16,-0.06286488023952097
2,0,0,2,0,0,0,4,0,2,32,8,4,2,64,16,-0.06386289421157686
2,4,32,2,4,0,64,4,2,0,0,8,0,0,0,16,-0.06486090818363274
2,4,32,2,0,4,64,4,2,0,2,8,0,0,0,16,-0.06585892215568863
0,0,0,2,0,2,32,4,0,0,64,8,4,8,2,16,-0.06685693612774452
2,0,0,0,2,32,4,2,64,8,0,0,4,8,2,16,-0.06785495009980042
0,0,0,2,2,32,4,2,0,2,64,8,4,8,2,16,-0.0688529640718563
2,2,0,0,2,32,4,2,2,64,8,0,4,8,2,16,-0.06985097804391219
4,2,4,2,2,32,8,16,4,64,2,2,0,8,0,0,-0.07084899201596807
0,2,0,2,4,32,4,2,2,64,8,16,4,8,2,2,-0.07184700598802396
0,0,2,4,4,32,4,2,2,64,8,16,0,4,8,4,-0.07284501996007985
0,0,2,4,4,32,4,2,2,64,8,16,0,4,8,4,-0.07384303393213575
4,32,2,4,2,64,4,2,2,4,16,16,0,0,0,4,-0.07484104790419163
4,32,2,4,2,64,4,2,0,2,4,32,0,4,0,4,-0.07583906187624752
0,32,0,4,4,64,0,2,4,2,2,32,2,4,8,4,-0.0768370758483034
0,4,32,4,0,4,64,2,0,4,4,32,2,4,8,4,-0.07783508982035929
0,2,32,4,0,0,64,2,0,8,4,32,2,8,8,4,-0.07883310379241518
2,32,4,0,64,2,0,2,8,4,32,0,2,16,4,0,-0.07983111776447106
2,32,4,0,64,4,0,0,8,4,32,0,2,16,4,2,-0.08082913173652696
2,0,2,0,64,32,4,0,8,8,32,0,2,16,4,2,-0.08182714570858285
4,0,2,0,64,32,4,0,16,32,0,0,2,16,4,2,-0.08282515968063874
4,0,0,0,64,2,0,0,16,64,2,0,2,16,8,2,-0.08382317365269462
4,0,0,0,64,2,0,0,16,64,2,0,2,16,8,2,-0.08482118762475051
4,0,0,0,64,2,0,0,16,64,2,0,2,16,8,2,-0.0858192015968064
