0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0
2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4
0,0,0,0,2,0,0,0,2,0,0,0,4,2,0,0,4
0,0,0,0,2,0,0,0,2,0,0,0,4,2,0,0,4
4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,8
0,0,0,0,0,0,0,0,2,0,0,0,8,2,0,2,16
2,2,0,2,8,0,0,0,0,0,2,0,0,0,0,0,16
0,0,2,4,0,0,0,8,0,2,0,2,0,0,0,0,20
2,4,0,0,8,0,0,0,4,2,0,0,0,0,0,0,24
0,0,0,0,2,0,0,0,8,4,0,2,4,2,0,0,24
0,0,0,4,2,0,0,0,8,4,2,0,4,2,0,0,24
0,2,0,0,2,0,0,0,8,4,0,0,4,2,2,4,24
0,0,2,2,0,0,0,2,0,0,8,4,0,4,4,4,28
0,0,0,0,0,0,2,0,0,0,8,4,2,4,4,8,40
0,0,0,0,0,0,2,0,0,0,8,4,2,4,4,8,40
2,4,2,4,0,0,8,8,0,0,4,0,0,2,0,0,40
2,0,0,0,0,0,2,0,0,4,8,4,2,2,4,8,40
2,0,0,0,0,0,2,0,0,4,8,4,4,2,4,8,44
0,0,0,2,0,2,0,2,0,4,8,4,4,2,4,8,44
4,2,8,4,0,4,4,4,0,2,0,8,0,0,2,0,48
4,2,8,4,0,0,4,8,0,2,2,8,0,0,0,2,56
4,4,8,4,0,2,4,16,0,0,2,2,0,0,0,0,76
4,4,8,4,0,2,4,16,0,0,2,2,0,0,0,0,76
4,4,8,4,0,2,4,16,0,0,2,2,0,0,0,0,76
0,8,8,4,0,2,4,16,0,0,4,4,0,0,0,0,88
2,8,8,4,0,2,8,16,0,0,0,4,0,0,0,0,96
0,2,0,0,0,0,0,4,0,8,0,16,2,2,16,4,112
2,2,16,4,0,8,0,16,0,2,0,4,0,0,2,0,112
0,4,16,4,0,0,8,16,0,0,2,4,2,0,0,2,116
2,4,16,4,0,0,8,16,0,0,2,4,2,0,0,2,116
4,4,16,4,0,0,8,16,0,0,2,4,2,0,0,2,120
0,0,0,4,0,4,16,16,4,0,8,4,2,4,2,2,120
4,8,16,4,2,0,8,16,0,0,2,4,0,0,2,2,128
0,0,2,4,0,0,16,16,4,0,8,4,2,8,4,2,132
2,4,0,0,32,0,2,0,4,8,4,0,2,8,4,2,164
2,4,0,0,32,2,0,0,4,8,4,2,2,8,4,2,164
2,4,0,0,32,2,0,0,4,8,4,2,2,8,4,2,164
2,4,8,4,32,2,0,2,4,16,0,0,2,0,0,0,192
