0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,4
2,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,4
4,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,2,0,0,0,0,0,0,8,0,2,2,16
8,2,2,2,0,0,0,0,0,0,0,0,0,4,0,0,16
8,4,2,0,0,0,0,0,0,4,0,0,4,0,0,0,20
2,8,4,2,0,0,0,0,0,0,0,4,0,0,0,4,20
2,8,4,2,0,2,0,0,4,0,0,0,4,0,0,0,20
2,8,4,2,8,2,0,0,0,0,0,0,0,4,0,0,28
2,8,4,2,0,2,8,2,0,0,0,0,0,0,0,4,28
2,8,4,2,2,8,2,0,2,0,0,0,4,0,0,0,28
0,0,0,0,2,2,0,0,4,0,4,0,4,16,2,2,48
0,0,0,0,4,0,0,0,8,0,0,2,4,16,4,0,64
0,0,0,0,0,2,0,4,0,0,8,2,0,4,16,4,64
0,2,0,0,2,4,0,0,8,2,0,0,4,16,4,0,64
0,2,0,2,0,0,2,4,0,0,8,2,0,4,16,4,64
0,2,0,2,0,0,2,4,0,2,8,2,0,4,16,4,64
0,0,2,2,0,0,2,4,0,4,8,2,0,4,16,4,68
0,8,4,2,0,0,8,4,0,0,16,2,0,2,0,4,80
0,8,4,2,0,0,8,4,0,0,16,2,0,2,2,4,80
0,0,4,2,0,2,8,4,0,8,16,2,0,2,2,4,80
2,0,4,2,0,2,8,4,0,8,16,2,0,0,4,4,84
2,4,2,0,2,8,4,0,8,16,2,2,8,0,0,0,92
2,0,0,0,0,4,2,0,4,8,4,0,16,16,2,2,112
0,0,0,0,2,4,2,4,4,8,4,0,16,16,2,2,112
0,0,0,0,2,4,2,4,4,8,4,0,32,4,2,0,148
0,0,0,0,2,4,2,4,0,4,8,4,2,32,4,2,148
4,8,2,8,2,32,8,2,0,0,4,0,0,0,0,0,168
4,8,2,8,2,32,8,2,0,0,4,0,0,0,0,0,168
4,8,2,8,2,32,8,2,0,0,4,0,0,0,0,0,168
0,2,0,0,0,0,2,0,4,8,8,8,2,32,4,2,168
0,0,0,0,0,2,2,2,4,8,8,8,2,32,4,2,168
0,2,0,0,0,0,2,4,0,4,8,16,2,32,4,2,188
0,2,0,2,0,0,2,4,0,4,8,16,2,32,4,2,188
0,0,0,4,0,0,2,4,2,4,8,16,2,32,4,2,192
0,0,0,4,0,0,2,4,2,4,8,16,2,32,4,2,192
0,0,0,2,0,0,2,8,0,4,8,16,4,32,4,2,204
4,4,2,2,0,32,8,8,2,0,4,16,0,0,0,2,204
4,4,2,2,2,32,8,8,0,2,4,16,0,0,0,2,204
0,0,8,4,0,2,32,16,0,2,4,16,2,0,0,2,232
2,4,8,4,0,0,32,32,0,0,4,2,0,2,0,0,268
0,0,0,2,0,0,8,4,0,4,32,32,2,2,4,2,268
2,4,8,2,0,2,32,4,0,0,4,32,2,0,0,2,268
4,4,8,2,0,2,32,4,0,0,4,32,0,2,0,2,272
0,8,8,2,0,2,32,4,0,0,4,32,0,0,2,4,284
0,0,8,2,0,0,32,4,2,8,4,32,0,2,2,4,284
8,2,0,0,32,4,0,0,2,8,4,32,4,4,2,0,288
8,2,4,32,32,4,2,2,2,8,0,0,4,4,0,0,288
8,2,0,0,32,4,2,0,2,8,4,32,4,4,2,2,288
8,2,0,0,32,4,2,0,2,8,4,32,4,4,2,2,288
0,0,8,2,2,32,4,2,2,8,4,32,0,0,8,4,300
8,2,0,2,2,32,4,2,2,8,4,32,8,4,0,0,300
0,2,0,2,8,32,0,0,4,8,0,4,8,4,8,32,316
2,2,0,0,8,32,0,2,4,8,0,4,8,4,8,32,316
4,0,0,0,8,32,2,0,4,8,4,2,8,4,8,32,320
4,0,0,0,8,32,2,0,4,8,4,2,8,4,8,32,320
4,0,0,0,8,32,2,0,4,8,4,2,8,4,8,32,320
4,0,0,0,8,32,2,0,4,8,4,2,8,4,8,32,320
4,0,0,0,8,32,2,0,4,8,4,2,8,4,8,32,320
4,0,0,0,8,32,2,0,4,8,4,2,8,4,8,32,320
4,32,2,2,8,8,4,32,4,4,8,0,8,0,2,0,320
4,32,4,0,16,4,32,0,8,8,2,0,8,2,0,0,348
4,32,4,2,16,4,32,0,16,8,2,0,0,2,0,0,364
4,32,4,2,32,4,32,0,0,8,2,2,0,2,0,0,396
4,32,4,4,32,4,32,0,2,8,2,0,0,2,0,0,400
4,32,8,0,32,4,32,0,2,8,2,2,2,0,0,0,408
4,32,8,2,32,4,32,0,4,8,2,0,0,2,0,0,412
4,32,8,2,32,4,32,0,4,8,2,0,0,2,0,0,412
0,32,0,0,4,4,8,2,32,8,32,0,4,2,2,2,412
4,32,8,4,32,4,32,0,4,8,2,0,0,2,4,0,416
4,32,8,4,32,4,32,0,4,8,2,0,0,2,4,0,416
4,32,8,4,0,32,4,32,0,4,8,2,0,2,2,4,416
0,2,8,4,0,64,4,32,0,4,8,2,4,2,2,4,480
2,8,4,2,64,4,32,0,4,8,2,0,4,4,4,0,484
2,8,4,2,0,64,4,32,0,4,8,2,0,2,4,8,492
2,8,8,2,0,64,8,32,2,4,4,2,0,2,0,8,500
0,2,16,2,0,64,8,32,0,2,8,2,2,0,2,8,524
2,2,16,2,0,64,16,32,0,2,2,2,0,4,0,8,540
0,2,0,2,0,64,0,32,2,2,32,2,2,4,2,8,572
4,0,0,2,64,32,0,0,4,32,2,0,2,4,2,8,580
4,0,0,0,64,0,0,0,4,64,2,2,2,4,4,8,648
4,64,2,2,64,4,4,8,4,2,0,0,2,0,0,0,648
4,64,2,2,64,4,4,8,4,2,0,0,2,0,0,0,648
4,64,2,2,64,4,4,8,4,2,0,0,2,0,0,0,648
0,4,64,4,0,64,8,8,0,0,4,2,0,0,2,2,660
2,4,64,4,0,0,64,16,0,0,4,2,0,0,0,4,680
2,4,128,4,0,0,4,16,0,0,2,2,0,0,0,4,808
2,4,128,4,0,0,4,16,0,2,0,4,0,0,0,4,812
2,4,128,4,0,2,4,16,0,0,0,8,0,0,0,4,820
2,4,128,4,0,2,4,16,0,0,0,8,0,0,0,4,820
2,4,128,4,0,2,4,16,0,0,0,8,0,0,0,4,820
2,4,128,4,2,4,16,0,8,0,0,4,4,0,0,0,820
2,4,128,4,2,4,16,0,8,4,0,2,4,0,0,0,820
2,4,128,4,2,2,4,16,0,8,4,2,0,0,0,4,820
0,0,0,4,0,4,0,16,2,2,128,2,4,8,8,4,832
4,0,0,0,4,16,0,0,4,128,2,0,4,16,4,2,852
0,0,0,4,0,0,4,16,2,4,128,2,4,16,4,2,852
4,2,0,0,4,16,0,0,2,4,128,2,4,16,4,2,852
2,0,4,2,0,0,4,16,2,4,128,2,4,16,4,2,852
2,4,2,0,4,16,2,0,2,4,128,2,4,16,4,2,852
2,4,2,0,4,16,2,0,2,4,128,2,4,16,4,2,852
2,4,2,0,4,16,2,0,2,4,128,2,4,16,4,2,852
0,2,4,2,4,4,16,2,2,4,128,2,4,16,4,2,852
0,2,4,2,2,8,16,2,2,4,128,2,4,16,4,2,860
0,2,4,2,2,8,16,2,2,4,128,2,4,16,4,2,860
0,2,4,2,2,8,16,2,2,4,128,2,4,16,4,2,860
2,2,4,0,0,8,16,0,4,4,128,4,4,16,4,4,872
2,2,4,8,8,8,16,2,0,4,128,0,0,16,4,0,888
4,4,8,2,16,16,2,0,4,128,0,0,16,4,0,0,908
0,8,8,2,0,0,32,2,0,2,4,128,0,0,16,4,948
0,8,8,4,0,2,32,128,0,0,4,4,0,2,16,0,952
2,0,8,0,0,0,32,4,0,8,4,128,0,4,16,4,956
2,8,8,4,0,4,32,128,0,0,4,4,0,2,16,0,956
2,8,8,4,0,4,32,128,0,2,4,4,0,0,16,2,956
2,8,8,4,0,4,32,128,0,2,4,4,0,0,16,2,956
0,2,16,4,2,4,32,128,0,0,2,8,0,0,16,2,980
2,16,4,2,2,4,32,128,2,8,0,0,16,2,0,0,980
2,16,4,2,2,4,32,128,0,0,2,8,2,0,16,2,980
2,16,4,2,2,4,32,128,2,8,0,4,2,16,2,0,980
2,16,4,2,2,4,32,128,2,8,4,0,2,16,2,2,980
2,16,4,2,2,4,32,128,2,2,8,4,0,2,16,4,984
2,0,4,0,0,16,32,2,2,4,8,128,4,4,16,8,1000
2,4,0,0,16,32,2,0,2,4,8,128,8,16,8,4,1008
