0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4
4,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,8
0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,2,16
0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,2,16
0,0,0,0,0,0,0,0,2,0,0,0,0,2,8,4,20
2,0,0,0,0,0,0,0,2,0,0,0,2,8,4,0,20
4,8,4,0,2,2,0,0,0,0,0,0,0,0,0,0,24
0,4,8,4,0,0,2,4,0,0,0,0,0,0,0,0,28
0,0,0,0,0,4,0,0,0,0,8,0,0,4,2,8,36
0,0,0,0,4,0,2,0,8,0,0,0,4,2,8,0,36
0,0,0,2,4,0,0,0,8,0,2,0,4,2,8,0,36
2,0,0,0,4,0,2,0,8,2,0,0,4,2,8,0,36
2,2,0,0,4,2,0,0,8,2,0,0,4,2,8,0,36
0,0,2,4,0,0,4,2,0,0,8,2,0,4,2,8,40
0,0,2,4,0,0,4,2,0,0,8,2,0,4,2,8,40
2,4,0,2,4,2,0,0,8,2,0,0,4,2,8,0,40
2,0,0,0,4,4,2,0,8,2,0,0,4,4,8,2,44
2,4,0,0,8,2,0,0,8,2,0,0,8,8,2,0,60
0,0,2,4,0,0,8,2,2,0,8,2,0,0,16,2,76
0,0,2,4,0,0,8,2,0,2,8,2,2,0,16,2,76
2,2,2,4,2,0,16,4,0,0,16,2,0,0,0,0,96
4,2,4,0,2,16,4,2,16,2,0,0,0,0,0,0,100
4,2,8,2,2,16,0,0,16,2,2,0,0,0,0,0,108
0,0,0,0,4,2,0,0,2,16,8,2,16,2,2,2,108
0,0,0,2,4,2,0,0,2,16,8,2,16,4,2,0,112
4,2,8,4,2,16,2,0,16,4,0,0,0,0,2,0,116
4,2,8,4,0,2,16,2,0,2,16,4,0,0,0,2,116
4,2,8,4,0,2,16,2,0,2,16,4,0,0,0,2,116
4,2,8,4,2,16,2,0,2,16,4,2,2,0,0,0,116
4,2,8,4,2,16,2,0,2,16,4,2,2,0,0,0,116
4,2,8,4,2,16,2,0,2,16,4,2,2,0,0,0,116
4,2,8,4,4,32,2,2,2,0,4,2,0,0,0,0,152
0,0,0,0,2,0,8,0,8,2,2,4,2,32,4,4,164
2,2,8,8,8,32,2,0,2,0,4,0,2,0,0,0,172
4,16,0,2,8,32,2,0,2,4,0,0,2,0,0,0,192
4,16,2,0,8,32,2,0,2,4,0,0,2,4,0,0,192
4,16,4,0,8,32,0,0,4,8,2,0,0,0,0,0,208
4,16,4,0,8,32,0,0,4,8,2,0,0,0,0,0,208
0,4,16,4,0,0,8,32,0,4,8,2,2,0,0,0,208
2,8,16,4,0,0,16,32,0,0,2,2,0,0,0,0,232
2,8,16,4,16,32,0,0,4,0,0,0,0,2,0,0,236
2,0,0,0,2,8,0,0,16,32,0,0,4,2,16,4,236
2,0,0,0,2,8,0,0,16,32,0,0,4,2,16,4,236
2,0,0,0,2,8,0,0,16,32,0,0,4,2,16,4,236
4,8,16,4,16,32,0,0,4,2,0,4,0,0,0,0,240
4,8,16,8,16,32,2,0,4,2,0,0,0,0,0,0,248
2,0,0,0,4,8,0,0,16,32,16,0,4,2,2,8,248
