0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,4
0,2,0,2,0,0,0,4,0,0,0,0,0,0,2,0,4
0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,4,4
2,0,0,0,0,0,0,2,2,0,0,0,4,4,0,0,8
4,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,12
0,2,8,4,0,0,0,4,0,0,0,0,0,0,0,0,24
0,2,8,4,0,0,0,4,0,0,0,0,0,0,0,0,24
0,2,8,8,4,0,0,0,0,0,0,0,0,0,0,0,32
0,0,0,0,0,0,2,0,0,0,0,0,4,2,8,8,32
0,0,0,0,2,0,0,0,0,0,2,0,4,2,16,0,48
2,2,2,0,4,0,16,2,0,0,0,0,0,0,0,0,48
0,0,2,4,0,4,16,2,2,0,0,0,0,0,0,0,52
0,0,0,2,0,0,0,0,0,0,2,4,2,4,16,2,52
0,0,0,0,0,2,0,2,0,0,2,4,2,4,16,2,52
0,0,0,2,4,0,0,0,2,4,0,0,2,4,16,2,56
0,0,0,2,0,2,0,4,0,0,2,4,2,4,16,2,56
0,0,0,2,0,2,2,4,0,0,2,4,2,4,16,2,56
2,2,4,2,0,4,16,8,0,0,0,2,2,0,0,0,68
0,4,4,2,0,4,16,8,0,0,0,2,0,0,2,2,72
8,2,0,0,4,16,8,0,2,2,0,0,4,0,0,0,84
2,0,8,2,0,4,16,8,0,0,0,4,0,0,0,4,88
2,8,2,0,4,16,8,0,4,2,0,0,4,0,0,0,88
2,8,2,0,4,16,8,0,4,2,0,0,4,0,0,0,88
0,0,0,2,2,8,0,0,4,16,2,0,8,2,8,0,96
2,2,0,0,2,8,0,0,4,16,2,0,8,2,8,0,96
0,0,4,4,0,0,2,8,0,4,16,2,0,8,2,8,100
0,4,4,4,2,8,2,8,0,0,16,2,0,0,2,8,100
0,0,4,4,0,0,2,8,2,4,16,2,2,8,2,8,100
8,0,0,0,2,8,0,2,2,4,16,2,2,8,2,8,108
8,8,16,4,4,4,2,8,2,8,0,0,0,2,0,0,116
0,8,0,0,8,4,2,0,4,8,16,4,2,2,2,8,116
0,8,0,0,8,4,2,0,4,8,16,4,2,2,2,8,116
8,8,2,4,4,4,16,8,2,8,2,4,0,2,0,0,116
2,16,2,4,0,8,16,8,2,8,2,4,0,0,0,2,140
0,0,2,4,0,0,2,8,0,16,16,4,4,16,2,2,160
0,0,0,4,0,0,4,8,0,2,16,4,4,32,2,2,196
