0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4
0,2,4,2,0,0,0,2,0,0,0,0,0,0,0,0,4
0,2,4,4,0,0,0,0,2,0,0,0,0,0,0,0,8
2,2,4,4,0,0,0,0,0,2,0,0,0,0,0,0,8
2,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,12
0,2,4,8,0,0,0,0,0,0,0,2,2,0,0,0,20
2,2,4,8,2,0,0,2,0,0,0,0,0,0,0,0,20
0,4,4,8,2,0,0,4,0,0,0,0,0,0,0,0,28
8,8,0,0,2,4,0,0,0,0,0,0,0,0,0,2,36
4,0,0,16,0,0,2,4,0,0,0,0,0,0,0,2,52
0,0,4,16,0,0,2,4,0,0,2,0,0,0,0,2,52
0,0,4,16,0,2,4,4,0,0,0,2,0,0,0,0,56
0,0,0,0,0,0,0,16,0,0,0,4,2,2,8,2,64
2,2,8,16,0,0,0,4,0,0,0,2,0,0,2,0,64
4,8,16,0,4,0,2,0,2,0,0,0,2,0,0,0,68
0,0,0,2,0,0,0,0,8,0,16,0,4,8,2,0,80
2,0,0,0,0,0,0,0,8,0,16,0,4,8,2,2,80
2,8,16,2,8,0,2,0,4,0,0,0,0,0,4,0,80
2,8,16,2,8,0,2,0,4,0,4,0,0,2,0,0,80
0,0,0,0,2,0,16,0,8,8,2,2,4,2,4,2,80
2,8,16,4,8,2,2,0,4,0,4,0,0,0,4,0,84
0,0,0,0,2,0,16,2,8,8,2,0,4,2,8,4,92
0,0,0,0,2,2,16,2,0,0,16,2,4,2,8,4,108
0,0,0,0,0,4,16,2,0,2,16,2,4,2,8,4,112
4,4,32,4,0,4,8,4,0,0,0,0,0,0,2,0,152
2,0,0,0,0,0,32,0,0,0,8,0,4,8,2,8,168
0,0,0,0,0,0,32,0,2,4,8,0,4,8,2,8,168
0,0,0,0,32,0,2,0,2,4,8,0,4,8,2,8,168
32,4,2,8,2,8,8,0,4,0,2,0,0,2,0,0,168
32,4,2,8,0,0,2,16,2,0,4,2,0,0,0,2,184
32,4,4,8,2,0,4,16,0,2,0,4,0,0,0,0,192
0,32,8,8,0,2,4,16,0,4,2,4,0,0,0,0,200
0,0,32,16,0,2,4,16,0,4,2,4,0,2,0,0,216
32,16,0,0,2,4,16,0,4,2,4,0,2,0,0,2,216
32,16,16,2,2,4,4,0,4,2,0,0,2,0,2,0,216
0,32,32,2,2,0,2,8,0,0,4,2,0,0,0,4,260
0,0,64,2,0,2,4,8,0,0,4,2,0,0,0,4,328
0,0,64,2,0,2,4,8,0,0,4,2,0,0,0,4,328
0,0,64,2,0,2,4,8,0,0,4,2,0,0,0,4,328
0,0,2,2,0,0,0,8,0,0,64,2,0,2,8,4,336
0,2,2,2,0,0,64,8,0,2,8,2,0,0,0,4,336
4,2,0,0,64,8,0,0,2,8,2,0,4,0,0,2,340
2,0,4,2,0,0,64,8,0,2,8,2,0,0,4,2,340
0,2,4,2,0,2,64,8,0,2,8,2,0,0,4,2,340
0,4,4,2,0,2,64,8,0,0,8,4,0,2,4,0,348
0,0,4,0,4,0,64,2,0,4,8,8,0,4,4,4,352
0,0,4,4,0,0,64,2,0,0,8,8,4,8,4,4,360
8,0,0,0,64,2,0,0,16,0,2,0,4,8,8,0,392
0,0,0,8,2,0,64,2,0,0,16,2,0,0,4,16,408
2,0,64,8,0,0,16,4,2,0,4,16,0,0,0,0,412
0,0,0,0,0,2,64,8,0,0,16,4,4,0,4,16,416
