0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,4
0,0,0,4,0,0,0,2,0,0,4,2,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,4,8
0,0,0,0,0,0,0,0,4,0,0,2,2,8,0,0,16
0,0,2,0,0,0,0,0,0,0,4,2,0,0,2,8,16
0,0,0,2,0,0,0,0,0,0,4,2,2,0,2,8,16
2,0,0,2,0,0,0,0,4,2,0,0,4,8,0,0,20
0,0,0,4,2,0,0,0,0,0,4,2,0,0,4,8,24
0,0,2,4,0,0,0,2,0,0,4,2,0,0,4,8,24
0,0,2,4,0,2,8,4,0,0,0,8,0,0,0,0,36
2,4,0,0,2,8,4,0,8,0,0,0,0,0,2,0,36
4,4,4,2,8,8,2,0,0,0,0,0,0,0,0,0,40
4,4,4,2,8,8,2,0,0,0,0,0,0,0,0,0,40
0,4,8,2,0,0,16,2,0,0,0,0,0,2,0,0,64
0,4,8,2,0,0,16,2,0,2,0,0,0,0,0,2,64
2,4,8,2,0,0,16,2,0,0,0,2,0,0,0,2,64
2,4,8,4,0,0,16,4,0,0,0,0,0,2,0,0,72
2,4,8,4,16,4,2,0,0,0,0,0,2,0,0,0,72
2,4,8,4,16,4,2,0,0,0,0,0,2,0,0,0,72
2,4,8,4,0,16,4,2,0,0,0,0,2,0,0,2,72
2,4,8,4,16,4,2,0,0,0,0,0,4,0,0,2,76
2,4,8,4,16,4,2,0,0,2,0,0,4,2,0,0,76
2,4,8,4,0,16,4,2,0,0,0,2,2,0,4,2,76
0,0,0,0,0,0,2,4,0,4,8,2,4,16,8,4,92
0,0,0,0,0,0,2,4,0,4,2,2,4,16,16,4,108
0,0,0,0,0,0,2,4,0,0,4,4,2,4,32,4,144
0,0,0,0,0,2,2,4,0,0,0,8,2,4,32,4,152
0,0,0,0,4,4,2,0,8,0,0,0,2,4,32,4,156
0,2,0,0,4,0,0,0,8,0,2,0,2,8,32,4,164
4,2,2,4,8,8,32,0,2,0,0,0,0,0,2,0,164
4,4,4,0,16,32,0,0,2,0,0,0,2,0,0,2,184
8,4,0,0,16,32,0,0,2,0,2,0,4,0,0,0,196
0,0,8,4,0,0,16,32,0,0,0,4,0,2,0,4,200
0,0,0,0,0,0,0,4,0,2,8,32,0,2,16,8,208
0,0,0,0,0,0,0,4,0,2,8,32,0,2,16,8,208
0,0,0,0,0,0,0,4,0,2,8,32,0,2,16,8,208
0,0,2,0,4,0,0,0,2,8,32,0,2,16,8,0,208
4,8,2,0,4,16,32,0,0,0,8,0,0,0,0,2,212
0,4,8,2,0,4,16,32,0,0,0,8,0,0,2,2,212
0,8,8,2,0,0,16,32,0,0,2,8,0,0,2,2,220
0,8,8,2,0,0,16,32,0,0,4,8,0,0,4,2,224
0,0,16,2,0,0,16,32,0,2,4,8,0,0,4,2,240
16,2,4,0,16,32,0,0,2,4,8,0,4,2,0,0,240
32,2,4,0,2,32,8,2,4,4,0,0,0,2,0,0,272
32,2,4,2,2,32,8,0,4,4,2,0,0,2,0,0,272
0,2,2,0,32,32,4,0,2,4,8,0,4,2,2,2,272
0,2,0,4,0,0,64,4,0,2,4,8,0,4,2,4,344
0,0,0,2,0,0,64,8,0,4,4,8,0,4,2,4,356
2,0,0,0,64,8,2,0,8,8,0,0,4,2,4,0,364
0,2,0,2,0,64,8,2,0,0,0,16,0,4,2,4,380
0,0,0,4,4,64,8,2,0,0,0,16,0,4,2,4,384
0,0,0,4,4,64,8,2,0,0,0,16,0,4,2,4,384
0,0,0,4,4,64,8,2,0,0,0,16,0,4,2,4,384
0,0,0,4,4,64,8,2,0,0,0,16,0,4,2,4,384
4,0,0,2,4,64,8,2,16,0,0,0,4,2,4,0,384
4,2,0,0,4,64,8,2,16,0,0,0,4,2,4,2,384
4,2,0,0,4,64,8,2,16,0,0,0,4,2,4,2,384
8,2,8,4,16,64,4,0,4,2,0,0,0,0,2,0,396
8,2,8,4,16,64,4,0,4,2,2,0,0,0,2,0,396
2,0,0,0,8,2,8,0,16,64,4,0,4,2,4,4,400
2,0,0,0,8,2,8,0,16,64,4,2,4,2,8,0,408
2,0,0,2,8,2,8,0,16,64,4,0,4,2,8,2,408
2,2,8,4,8,64,4,0,16,2,8,0,4,0,0,2,412
2,2,8,4,8,64,4,2,16,2,8,0,4,0,0,2,412
2,2,8,4,8,64,4,4,16,2,8,0,4,2,0,0,416
2,2,8,8,8,64,4,0,16,4,8,0,4,2,0,0,428
0,0,4,16,0,8,64,4,0,16,4,8,2,0,4,2,448
2,0,0,16,0,0,4,4,0,8,64,8,2,16,8,2,456
2,0,2,16,0,0,0,8,0,8,64,8,2,16,8,2,464
0,0,4,16,0,4,0,8,0,8,64,8,2,16,8,2,468
4,0,4,16,0,0,4,8,0,8,64,8,2,16,8,2,468
4,8,8,16,2,16,64,16,0,4,8,2,0,0,0,0,492
2,0,0,0,0,8,8,0,4,16,64,32,2,4,8,2,524
0,0,2,0,2,8,8,0,4,16,64,32,2,4,8,2,524
2,8,2,32,4,16,8,2,2,4,64,0,0,0,8,2,524
2,8,2,32,4,16,8,4,2,4,64,2,0,0,8,0,528
2,8,2,32,4,16,8,4,2,4,64,2,0,0,8,0,528
2,8,2,32,4,16,8,4,2,4,64,2,0,0,8,0,528
0,0,2,2,2,8,8,32,4,16,64,4,2,4,8,2,528
0,0,2,4,0,2,16,32,4,16,64,4,2,4,8,2,548
0,0,2,4,0,2,16,32,4,16,64,4,2,4,8,2,548
2,4,2,0,2,16,32,0,4,16,64,4,2,4,8,2,548
2,4,2,0,2,16,32,0,4,16,64,4,2,4,8,2,548
4,4,2,4,4,32,32,2,2,4,64,0,2,0,8,0,584
8,2,4,2,4,64,2,0,2,4,64,0,2,8,0,0,656
8,2,4,2,0,4,64,2,0,2,4,64,2,0,2,8,656
8,2,4,4,2,4,64,64,0,2,4,8,0,2,2,0,660
8,2,8,0,2,4,128,0,2,4,8,0,4,0,2,0,800
8,2,8,0,2,4,128,0,2,4,8,0,4,2,0,2,800
8,2,8,2,2,4,128,0,2,4,8,0,4,4,0,0,804
8,2,8,2,2,4,128,0,2,4,8,0,8,0,0,2,812
8,2,8,4,4,8,128,0,8,0,8,0,0,0,2,0,828
0,2,8,0,8,0,128,0,4,2,8,0,8,8,2,4,828
8,4,8,4,4,8,128,0,8,2,8,0,0,0,2,0,832
