0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4
0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,4
0,0,4,2,0,0,0,2,0,0,0,0,0,0,2,0,4
0,2,4,4,0,0,2,0,0,0,0,0,0,0,0,0,8
0,2,4,4,0,0,2,0,0,0,0,0,0,0,0,0,8
0,0,0,0,2,0,0,0,0,0,4,0,0,2,2,4,8
2,0,0,0,0,0,0,0,0,0,4,0,2,2,2,4,8
4,2,4,4,0,0,2,0,0,0,0,0,0,0,0,2,12
0,4,2,8,0,0,0,2,0,0,0,2,0,0,0,2,20
0,4,2,8,0,0,0,2,0,0,0,2,0,0,0,2,20
0,4,2,8,0,0,0,2,0,0,0,2,0,0,0,2,20
0,4,2,8,0,0,0,2,0,0,0,2,0,0,0,2,20
0,4,2,8,0,0,0,4,0,0,0,2,0,4,0,0,24
4,2,8,0,4,0,0,0,2,0,0,0,4,0,2,0,24
0,4,2,8,0,0,2,4,0,0,0,2,0,0,4,2,24
0,0,2,0,0,0,0,8,0,0,4,4,0,4,4,4,32
0,0,0,2,0,0,0,8,2,0,0,8,0,0,4,8,48
0,0,0,0,0,0,2,2,0,0,0,8,2,0,4,16,64
0,0,0,0,0,0,0,4,0,0,0,8,2,2,4,16,68
2,2,4,4,0,0,0,8,0,0,0,16,0,2,0,0,68
2,4,4,4,0,0,0,8,2,0,0,16,0,0,0,0,72
0,2,4,8,0,0,0,8,0,0,2,16,0,0,2,0,80
0,2,4,8,0,0,0,8,0,0,2,16,0,0,2,2,80
0,0,0,0,0,2,0,16,0,0,4,16,0,2,4,2,100
0,0,0,0,2,16,0,0,4,16,2,0,2,4,2,0,100
2,32,4,0,4,4,0,0,2,0,0,0,0,2,0,0,136
4,0,0,0,2,32,0,0,4,4,0,0,2,2,4,0,136
4,0,0,0,2,32,0,0,4,4,0,0,2,2,4,0,136
4,32,4,0,2,4,4,0,4,2,0,0,2,0,0,0,136
4,0,0,0,2,32,0,0,4,4,0,2,2,2,8,0,144
4,2,0,0,2,32,0,0,4,4,0,0,2,2,8,2,144
4,2,8,2,2,32,0,0,4,4,0,2,2,2,0,0,144
4,2,2,0,2,32,0,0,4,4,0,0,2,2,8,4,148
4,2,0,0,2,32,2,0,4,4,2,0,2,2,8,4,148
4,2,0,2,2,32,0,0,4,4,4,0,2,2,8,4,152
4,4,0,0,2,32,0,0,8,4,0,2,4,8,4,0,168
4,4,4,2,2,32,0,0,8,4,0,0,4,8,0,2,168
8,4,2,0,2,32,2,0,8,4,0,0,4,8,2,0,176
8,4,4,0,2,32,2,0,8,4,2,0,4,8,0,0,180
8,4,4,0,2,32,4,0,8,4,0,0,4,8,2,0,184
8,4,8,0,2,32,2,0,8,4,0,0,4,8,0,4,192
