0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0
0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,4
0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,4,4
0,0,2,0,0,0,0,0,0,0,0,2,2,0,2,4,4
0,0,0,2,0,0,0,0,2,0,0,2,0,0,4,4,8
0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,8,20
2,0,0,0,0,0,0,0,4,0,0,0,2,8,2,0,20
0,2,0,2,0,0,0,0,0,0,0,4,0,2,8,2,20
0,0,0,4,0,0,2,0,0,0,0,4,0,2,8,2,24
0,2,2,8,0,0,8,2,0,0,0,0,0,2,0,0,32
0,0,4,8,0,0,8,2,0,2,0,0,0,0,0,2,36
0,0,4,8,0,0,8,2,0,0,0,2,0,0,2,2,36
0,0,4,8,0,0,8,4,2,0,2,2,0,0,0,0,40
2,0,0,0,0,0,4,8,0,0,8,4,2,0,2,2,40
0,0,2,0,0,0,4,8,0,0,8,4,4,0,2,2,44
4,0,2,8,0,2,4,4,0,0,8,2,0,0,2,0,44
4,2,2,8,0,0,4,4,0,0,8,2,2,0,2,0,44
4,4,8,0,8,0,0,2,8,2,0,0,4,0,0,0,60
8,8,0,0,8,2,0,0,8,2,0,0,4,0,2,0,68
16,8,2,0,8,4,0,0,4,0,0,0,0,0,2,0,88
16,8,2,0,8,4,2,0,4,0,0,0,2,0,0,0,88
16,8,4,0,8,4,0,0,4,0,0,0,2,0,2,0,92
16,8,4,0,8,4,0,0,4,0,0,0,4,2,0,0,96
0,0,0,0,16,8,0,0,8,4,0,0,8,2,4,2,104
0,0,0,0,2,0,16,8,0,0,8,4,8,2,4,2,104
0,0,0,0,2,2,16,8,0,0,8,4,8,2,4,2,104
2,4,16,8,8,0,8,4,2,0,4,2,0,0,0,0,108
2,4,16,8,16,4,0,0,2,4,2,0,4,0,0,0,124
2,0,0,2,16,0,0,0,2,4,16,0,4,8,2,8,132
2,4,0,0,16,0,0,0,2,4,16,2,4,8,2,8,132
2,0,0,0,16,2,0,0,2,8,16,2,4,8,2,8,140
2,2,16,2,16,16,2,8,2,0,0,0,4,0,2,0,156
4,16,2,0,32,2,8,0,2,0,0,2,4,2,0,0,192
4,0,2,0,32,0,0,0,2,16,2,0,4,4,8,2,196
4,16,4,2,32,4,8,0,2,0,2,0,4,0,0,0,200
4,16,4,2,32,4,8,2,4,0,0,0,4,0,0,0,204
4,16,4,4,32,4,8,0,8,0,0,2,0,0,0,0,216
0,0,0,0,4,0,0,2,32,16,4,4,8,4,8,2,216
4,16,4,2,32,4,8,4,8,0,0,2,0,0,2,0,216
4,16,4,2,32,4,8,4,8,2,0,0,2,2,0,0,216
4,16,4,2,32,4,8,4,0,0,8,2,0,0,2,4,220
0,0,0,2,2,0,4,4,4,16,16,2,32,4,2,4,236
0,0,0,2,2,0,4,4,4,16,16,2,32,4,2,4,236
2,0,0,2,2,8,0,0,4,32,2,0,32,4,2,4,276
4,8,4,2,4,32,0,4,32,4,0,0,0,2,0,0,284
4,8,4,2,4,32,4,0,32,4,0,0,2,0,0,4,284
4,8,4,2,4,32,4,0,32,4,0,2,2,4,0,0,284
8,8,8,4,32,32,0,0,2,8,0,0,2,0,0,0,312
0,0,0,0,8,8,0,0,32,32,0,2,4,8,8,4,316
0,0,0,0,8,8,0,0,32,32,0,2,4,8,8,4,316
0,0,0,0,0,0,0,16,2,0,64,2,0,4,16,4,412
2,4,64,16,0,0,16,2,0,0,2,4,0,0,0,0,412
0,0,0,0,0,0,64,16,0,4,16,2,2,4,2,4,412
0,2,0,0,64,16,0,0,4,16,2,0,2,4,2,4,412
2,0,0,2,0,0,64,16,0,4,16,2,2,4,2,4,412
4,0,0,0,64,16,2,0,4,16,2,0,2,4,2,4,416
4,0,0,0,64,4,0,0,4,32,2,0,2,4,4,4,452
0,0,0,4,0,2,64,4,0,4,32,2,0,2,4,8,460
4,0,2,0,2,64,4,0,4,32,2,0,2,4,8,0,460
4,0,2,0,2,64,4,0,4,32,2,0,2,4,8,0,460
4,64,2,0,2,32,4,0,4,4,2,2,2,0,8,0,460
4,64,2,2,2,32,4,0,4,4,2,0,2,2,8,0,460
4,64,4,0,2,32,4,0,8,2,0,0,4,8,0,2,476
0,4,64,4,0,2,32,4,2,0,8,2,0,4,8,2,476
2,4,64,8,0,2,32,4,0,4,16,0,0,0,2,0,504
2,4,64,8,0,2,32,4,0,4,16,0,0,0,2,0,504
2,4,64,8,0,2,32,4,0,2,4,16,0,0,0,2,504
2,4,64,8,2,32,4,0,2,4,16,0,2,2,0,0,504
2,4,64,8,0,2,32,4,0,2,4,16,0,2,0,4,508
2,4,64,8,2,2,32,4,0,2,4,16,0,0,2,4,508
2,4,64,8,4,32,4,0,2,4,16,0,2,4,0,2,512
2,4,64,8,4,32,4,0,2,4,16,2,2,4,2,0,512
2,0,64,0,2,4,4,0,4,32,16,8,4,8,2,2,524
0,0,64,2,0,4,4,0,4,32,16,8,8,8,2,2,536
0,0,64,4,0,4,4,2,4,32,16,8,8,8,2,2,536
0,0,64,4,0,4,4,2,4,32,16,8,8,8,2,2,536
64,4,0,0,8,2,2,0,4,32,16,8,16,4,0,0,564
0,2,64,4,0,0,8,4,4,32,16,8,0,0,16,4,568
4,2,64,8,0,32,8,8,2,0,32,4,0,0,0,0,608
2,0,0,0,0,0,64,0,4,2,8,16,2,32,32,4,624
2,0,0,0,64,0,0,0,4,2,8,16,2,64,4,2,688
2,0,0,0,64,0,0,0,4,2,8,16,2,64,4,2,688
2,0,0,0,64,0,0,0,4,2,8,16,2,64,4,2,688
2,2,8,16,64,64,4,2,4,0,0,0,2,0,2,0,688
4,8,16,0,128,4,2,0,4,2,0,0,4,0,0,0,824
4,8,16,0,128,4,2,0,8,2,2,0,0,0,0,0,832
4,8,16,0,128,4,2,2,8,4,0,0,0,0,0,0,836
4,8,16,0,128,4,4,0,8,4,0,2,0,0,0,0,840
4,8,16,2,128,8,4,2,8,0,0,0,0,0,0,0,848
0,0,0,2,4,0,0,0,128,0,16,0,8,16,4,4,868
0,0,0,2,0,0,0,4,0,0,128,16,2,8,16,8,876
2,0,0,0,4,0,0,0,128,16,2,0,2,8,16,8,876
0,0,0,2,0,0,0,4,2,128,16,2,2,8,16,8,876
4,128,32,2,2,8,0,4,0,0,0,2,0,0,0,8,912
4,128,32,2,0,2,8,4,0,0,0,2,4,0,0,8,912
4,128,32,2,2,2,8,4,0,0,0,2,0,0,4,8,912
4,128,32,2,2,2,8,4,0,0,4,2,2,0,0,8,912
4,128,32,2,4,8,4,2,4,2,0,0,2,8,0,0,916
8,128,32,4,4,8,4,0,2,2,0,0,0,8,2,0,928
8,128,32,4,4,8,4,0,4,0,0,0,8,2,2,0,932
8,128,32,4,0,4,8,4,2,0,0,4,0,0,8,4,936
8,128,32,4,4,8,4,2,2,4,0,0,8,4,0,0,936
8,0,0,2,4,128,0,0,2,8,32,4,8,8,4,2,944
0,0,8,2,0,0,4,128,2,8,32,4,2,16,4,2,960
8,2,0,0,4,128,0,2,2,8,32,4,2,16,4,2,960
0,2,8,2,0,4,128,2,2,8,32,4,2,16,4,2,960
0,2,8,2,0,4,128,2,2,8,32,4,2,16,4,2,960
4,2,8,4,0,4,128,4,0,8,32,2,0,16,4,2,968
4,2,8,4,4,128,4,0,8,32,2,0,16,4,2,2,968
0,2,2,0,8,128,8,0,8,32,4,4,16,4,4,2,980
2,0,0,4,0,8,128,8,0,8,32,8,0,16,8,2,1000
2,16,128,4,0,16,32,16,0,0,8,2,2,0,0,0,1032
2,16,128,4,0,16,32,16,0,4,8,2,0,0,0,2,1032
2,16,128,4,0,16,32,16,0,4,8,2,0,0,0,2,1032
0,0,4,0,0,0,128,4,0,32,32,16,2,4,8,4,1068
4,0,0,0,128,4,0,2,64,16,0,0,2,4,8,4,1132
0,0,2,4,0,128,4,2,0,0,64,16,2,4,8,4,1132
2,4,0,2,128,4,2,0,64,16,0,0,2,4,8,4,1132
2,8,2,2,128,16,8,4,64,4,0,0,2,0,0,2,1140
2,8,2,2,128,16,8,4,64,4,2,2,2,0,0,0,1140
2,8,4,0,128,16,8,4,64,4,4,0,2,2,0,0,1148
2,8,0,2,128,16,4,0,64,4,8,0,2,2,4,4,1148
2,8,4,2,128,16,8,4,64,4,4,4,2,2,0,0,1148
2,8,0,2,128,16,4,0,64,4,8,2,2,2,4,8,1156
2,8,0,0,128,16,4,2,64,4,8,4,2,2,4,8,1160
