0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,4
2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,2,0,2,0,4,2,2,0,4
0,0,0,0,0,0,0,0,0,2,0,4,0,0,4,4,12
0,2,4,8,0,0,0,0,0,0,0,0,0,2,0,0,20
0,4,4,8,4,0,0,0,0,0,0,0,0,0,0,0,24
0,0,0,0,2,0,0,0,0,0,0,0,4,4,4,8,24
0,0,0,0,0,0,2,2,0,0,0,0,0,4,8,8,32
0,4,2,2,0,0,8,8,0,0,0,0,0,0,0,2,32
0,4,2,2,0,0,8,8,0,2,0,2,0,0,0,0,32
0,2,0,0,0,0,0,2,0,4,2,8,0,2,8,2,32
0,0,0,0,0,2,0,2,0,4,2,8,4,2,8,2,32
0,0,0,0,4,0,2,0,4,2,8,0,4,2,8,2,36
0,0,0,0,0,0,4,2,2,4,2,8,4,2,8,2,36
0,0,0,0,4,2,2,0,2,4,2,8,4,2,8,2,36
0,0,0,0,0,2,4,4,2,4,2,8,4,2,8,2,40
0,0,0,0,0,2,4,4,2,4,2,8,4,2,8,2,40
0,0,0,0,0,2,4,4,2,4,2,8,4,2,8,2,40
0,0,0,0,2,8,0,2,2,4,2,8,4,2,8,2,48
2,0,0,0,0,2,8,2,2,4,2,8,4,2,8,2,48
4,0,0,0,0,2,8,2,4,4,2,8,4,2,8,2,52
0,0,4,4,0,2,8,2,0,8,2,8,4,2,8,2,60
4,2,4,4,0,8,8,2,4,2,2,8,0,0,8,2,60
4,2,8,0,16,2,0,0,4,4,8,4,8,2,0,0,88
4,2,8,0,16,2,2,0,8,8,4,0,8,2,0,0,96
0,0,0,2,4,4,8,0,16,8,2,0,16,2,4,0,116
0,0,2,2,0,0,8,8,0,16,8,2,0,16,2,4,124
4,0,0,0,16,2,0,0,16,8,2,0,16,2,4,0,144
4,0,0,0,16,2,0,0,16,8,2,0,16,2,4,0,144
0,0,0,4,0,2,16,2,0,16,8,2,0,16,2,4,144
0,0,0,4,0,2,16,2,0,16,8,2,0,16,2,4,144
0,2,16,4,0,32,8,4,0,0,2,4,2,0,0,0,180
2,16,4,0,32,8,4,0,2,4,0,0,2,0,4,0,180
2,16,8,0,32,8,4,0,4,4,0,0,0,0,0,4,192
2,16,8,0,32,8,4,0,8,2,0,0,4,0,0,0,200
2,0,0,0,32,16,0,0,8,8,8,2,4,2,4,0,200
2,16,8,2,32,8,4,0,8,2,0,0,4,0,2,0,200
2,16,8,2,32,8,4,0,8,2,0,0,4,2,0,2,200
2,16,8,2,0,32,8,4,0,0,8,2,2,0,4,4,204
2,16,8,2,0,32,8,4,2,0,8,2,0,0,2,8,212
2,16,8,2,32,8,4,0,2,8,2,0,2,8,2,0,212
2,16,8,2,32,16,4,0,4,8,4,0,2,0,0,0,236
2,32,8,2,32,8,8,4,4,0,0,0,2,0,0,0,276
2,0,0,0,32,0,0,0,4,32,2,2,2,8,16,4,292
2,0,0,0,32,0,2,0,4,32,4,0,2,8,16,4,296
2,0,0,2,0,0,32,2,0,4,32,4,2,8,16,4,296
0,2,0,4,0,0,32,2,0,4,32,4,2,8,16,4,300
0,0,0,0,0,2,2,4,0,4,64,2,2,8,16,8,372
0,0,0,0,0,0,4,4,2,4,64,2,2,8,16,8,376
0,0,0,0,8,2,0,0,2,4,64,2,2,8,16,8,384
0,2,0,0,0,0,8,2,2,4,64,2,2,8,16,8,384
4,2,8,4,0,4,64,8,0,8,16,4,0,0,0,0,392
4,2,8,4,0,4,64,8,0,8,16,4,0,0,0,0,392
4,2,8,4,4,64,8,0,8,16,4,0,0,2,0,0,392
8,2,16,4,8,64,4,4,0,16,0,0,0,2,0,0,416
8,2,16,4,0,8,64,8,2,0,0,16,0,0,0,2,424
8,2,16,4,0,8,64,8,0,0,2,16,0,2,0,2,424
8,2,16,4,8,64,8,0,2,16,0,2,4,0,0,0,428
8,2,16,4,8,64,8,0,2,16,2,0,4,2,0,0,428
16,2,16,4,2,64,8,0,4,16,2,2,0,2,0,0,444
16,2,16,4,2,64,8,2,4,16,2,0,0,2,2,0,444
16,2,16,4,2,64,8,2,4,16,2,0,4,4,0,0,448
16,2,16,4,2,64,8,2,0,4,16,2,0,2,0,8,456
16,2,16,4,2,64,8,2,4,16,2,2,2,8,0,0,456
16,2,16,4,2,64,8,4,4,16,2,2,2,8,0,0,460
16,2,16,4,2,64,8,4,4,16,4,2,2,8,0,0,464
16,2,16,4,2,64,8,4,4,16,4,2,2,8,0,0,464
16,2,16,8,2,64,8,2,4,16,4,2,2,8,0,0,472
16,2,0,0,2,64,16,2,4,16,8,8,2,8,4,4,476
0,2,16,2,2,64,16,2,0,4,16,16,0,2,8,8,500
0,2,0,0,2,64,16,4,0,4,32,16,2,2,8,8,536
4,2,16,4,0,64,32,16,0,4,8,8,0,2,0,2,540
4,2,16,4,64,32,16,0,4,16,0,2,4,0,0,0,560
4,2,32,4,64,32,0,2,8,16,0,0,0,0,2,0,600
4,2,32,4,64,32,2,2,8,16,0,0,2,0,0,0,600
4,2,32,4,64,32,2,2,8,16,0,0,2,0,0,0,600
4,2,32,4,0,64,32,4,0,0,8,16,2,0,0,2,604
4,2,64,8,2,64,8,16,0,0,0,2,0,2,0,0,676
0,0,2,0,0,2,0,8,4,64,64,16,2,2,8,2,676
4,2,2,8,2,64,64,16,0,2,8,2,0,2,0,0,676
4,4,8,0,2,128,16,0,2,8,2,2,2,0,0,0,808
8,8,0,0,2,128,16,0,2,8,4,0,2,0,0,2,820
16,0,0,0,2,128,16,0,2,8,4,2,4,0,0,0,840
0,2,0,0,16,0,0,0,4,128,16,0,4,8,4,2,844
16,2,16,2,8,128,4,0,0,8,0,0,2,0,0,0,852
16,2,16,2,0,8,128,4,0,0,0,8,2,0,0,2,852
16,2,16,2,2,8,128,4,2,0,0,8,0,0,0,2,852
0,2,0,2,0,0,0,4,16,2,16,8,4,8,128,2,856
0,0,0,2,0,0,2,4,16,4,16,8,4,8,128,2,860
2,2,0,0,2,4,0,0,16,4,16,8,4,8,128,2,860
4,2,16,8,16,8,128,2,4,8,0,2,0,0,0,0,872
4,2,16,8,16,16,128,4,4,0,0,4,0,0,0,0,892
4,2,16,8,16,16,128,8,4,0,0,0,0,0,4,0,900
4,2,16,16,16,16,128,0,4,0,4,0,0,2,0,0,916
0,4,2,32,0,0,32,128,0,2,0,8,0,0,0,2,988
2,4,2,32,0,2,32,128,0,0,0,8,0,0,0,2,988
2,4,2,32,0,2,32,128,0,0,0,8,0,0,0,2,988
0,0,2,32,0,0,0,128,0,4,2,8,2,2,32,2,988
0,2,0,32,0,0,0,128,0,4,4,8,2,2,32,2,992
2,32,0,2,128,0,0,0,8,8,0,0,4,32,2,0,1004
0,2,32,2,0,0,0,128,0,0,2,16,0,4,32,2,1020
0,0,0,2,0,0,32,128,0,2,2,16,2,4,32,2,1020
0,0,0,2,2,0,32,128,0,0,4,16,2,4,32,2,1024
0,0,0,2,0,0,32,128,2,0,4,16,4,4,32,2,1028
0,0,0,2,0,0,32,128,2,0,4,16,4,4,32,2,1028
2,0,0,0,32,128,0,0,2,4,16,0,8,32,2,2,1036
2,128,16,2,32,4,2,0,2,32,0,2,8,0,0,0,1036
2,128,16,2,32,4,2,2,2,32,2,0,8,0,0,0,1036
2,128,16,2,0,32,4,4,0,2,32,2,0,2,0,8,1040
2,128,16,2,32,8,0,2,2,32,2,0,2,8,0,0,1048
2,128,16,2,32,8,2,2,2,32,2,0,2,8,0,0,1048
2,128,16,2,32,8,4,0,2,32,2,0,2,8,2,0,1052
0,128,0,2,2,8,16,0,32,32,4,0,4,8,4,2,1060
0,128,0,0,2,8,2,0,32,32,16,0,4,8,8,4,1072
0,0,0,128,0,2,8,2,0,4,64,16,0,4,16,4,1152
128,2,0,0,2,8,2,0,4,64,16,0,4,16,4,0,1152
128,2,0,0,2,8,2,0,4,64,16,0,4,16,4,0,1152
0,2,128,2,0,2,8,2,0,4,64,16,0,4,16,4,1152
2,0,128,0,0,0,8,4,0,4,64,16,0,8,16,4,1168
0,2,2,128,0,0,8,4,0,4,64,16,0,8,16,4,1168
2,0,2,128,0,2,8,4,0,4,64,16,0,8,16,4,1168
0,0,4,128,0,2,8,4,0,4,64,16,2,8,16,4,1172
0,0,4,128,0,2,8,4,0,4,64,16,2,8,16,4,1172
0,0,4,128,0,2,8,4,0,4,64,16,2,8,16,4,1172
0,0,4,128,0,2,8,4,0,4,64,16,2,8,16,4,1172
0,0,4,128,0,2,8,4,0,4,64,16,2,8,16,4,1172
2,2,4,128,2,4,8,4,0,8,64,16,0,0,16,4,1172
0,2,4,128,0,2,8,4,0,4,64,16,4,8,16,4,1176
2,4,128,2,2,8,4,0,4,64,16,0,4,8,16,4,1176
4,4,128,2,8,8,4,4,2,64,32,0,0,8,0,0,1220
8,128,2,0,16,8,0,0,2,64,32,0,8,2,0,0,1252
0,8,128,2,0,0,16,8,4,2,64,32,0,0,8,2,1252
8,128,2,0,16,8,2,0,4,2,64,32,8,2,0,0,1252
8,128,4,32,16,8,64,0,4,4,0,0,8,2,0,0,1260
8,128,4,32,16,8,64,0,4,4,0,0,8,2,0,0,1260
8,128,4,32,16,8,64,0,8,0,0,0,8,2,0,2,1268
8,128,4,32,0,16,8,64,0,0,2,8,0,0,8,4,1272
8,128,4,32,0,16,8,64,0,0,2,8,0,0,8,4,1272
8,128,4,32,16,8,64,2,2,8,0,0,8,4,0,0,1272
8,128,4,32,16,8,64,2,2,8,0,0,8,4,0,0,1272
8,128,4,32,16,16,64,2,2,4,0,2,8,0,0,0,1288
8,128,4,32,2,32,64,2,0,2,4,2,0,0,0,8,1320
0,0,0,0,4,128,4,32,8,32,64,4,2,2,4,8,1324
0,4,0,0,4,128,4,32,8,32,64,4,4,4,8,0,1328
4,0,0,2,4,128,4,32,8,32,64,4,8,8,0,0,1336
4,2,0,2,4,128,4,32,8,32,64,4,16,0,0,0,1352
8,2,4,2,8,128,64,32,16,32,0,4,0,0,2,0,1360
16,2,4,2,16,128,64,32,0,32,2,4,0,0,2,0,1376
0,0,0,0,0,2,4,2,4,128,64,32,32,32,4,4,1412
0,0,0,0,0,2,4,2,4,128,64,32,2,0,64,8,1484
4,2,4,2,2,128,128,32,0,2,0,8,0,0,0,0,1612
4,2,4,2,2,256,32,0,2,8,0,0,2,0,0,0,1868
4,2,4,2,2,256,32,0,2,8,0,0,2,0,0,0,1868
4,2,4,2,4,256,32,0,2,8,0,2,0,0,0,0,1872
4,2,4,2,4,256,32,0,2,8,2,0,0,0,2,0,1872
4,2,4,2,2,4,256,32,0,2,8,2,0,0,0,2,1872
0,0,0,2,0,2,4,2,4,4,256,32,2,2,8,4,1876
0,0,2,2,0,2,4,2,0,8,256,32,0,4,8,4,1888
0,0,0,4,0,2,4,2,0,8,256,32,2,4,8,4,1892
2,2,4,4,2,8,256,2,0,4,8,32,0,0,0,4,1892
0,0,4,8,2,8,256,2,2,4,8,32,0,0,0,4,1904
4,8,4,8,0,4,256,2,0,0,8,32,0,2,0,4,1908
0,2,0,8,0,8,4,2,0,4,256,32,4,2,8,4,1908
0,2,0,8,0,8,4,2,0,4,256,32,4,2,8,4,1908
0,0,2,8,0,8,4,2,2,4,256,32,4,2,8,4,1908
0,0,2,8,0,8,4,2,2,4,256,32,4,2,8,4,1908
2,8,2,8,4,4,4,2,0,2,256,32,0,4,8,4,1908
2,8,2,8,0,4,8,2,0,2,256,32,4,4,8,4,1916
2,8,2,8,0,4,8,2,2,2,256,32,4,4,8,4,1916
2,8,2,8,2,4,8,2,0,4,256,32,0,8,8,4,1928
4,8,2,8,0,8,8,2,2,8,256,32,0,0,8,4,1940
4,8,2,8,16,2,4,0,2,8,256,32,8,4,0,0,1956
4,8,0,0,16,2,2,2,2,8,4,8,8,4,256,32,1956
4,8,0,2,16,4,2,0,2,8,4,8,8,4,256,32,1960
2,4,8,2,0,16,4,2,2,8,4,8,8,4,256,32,1960
0,4,0,0,4,16,8,4,4,8,8,8,8,4,256,32,1976
0,4,0,0,2,16,0,4,8,8,16,8,8,4,256,32,2000
0,4,0,0,2,16,0,4,2,8,16,8,16,4,256,32,2016
4,4,16,4,16,16,256,8,0,8,2,32,0,4,0,0,2020
4,4,16,4,16,16,256,8,0,8,2,32,0,4,0,0,2020
2,4,0,0,0,16,16,4,4,8,256,8,16,4,2,32,2020
2,4,0,2,32,4,0,0,4,8,256,8,16,4,2,32,2052
2,8,256,2,32,8,2,8,4,4,0,32,16,0,0,2,2060
2,8,256,2,32,8,2,8,0,2,8,32,0,0,16,2,2068
2,8,256,2,32,8,2,8,0,2,8,32,0,0,16,2,2068
2,16,256,2,32,2,2,8,0,0,8,32,2,0,16,2,2084
2,16,256,2,32,4,8,0,8,32,0,0,2,16,2,2,2088
2,16,256,4,32,4,8,0,8,32,2,2,2,16,0,0,2092
2,16,256,4,32,4,8,2,8,32,4,0,2,16,0,0,2096
2,16,256,4,32,4,8,2,8,32,4,0,2,16,0,0,2096
2,16,256,4,32,4,8,2,2,8,32,4,0,0,2,16,2096
2,0,256,4,2,16,8,2,32,4,32,4,2,8,2,16,2096
2,0,256,4,4,16,8,2,32,4,32,4,2,8,2,16,2100
2,0,256,4,4,16,8,2,32,4,32,4,2,8,2,16,2100
2,256,4,2,4,16,8,2,32,4,32,4,2,8,2,16,2100
2,256,4,2,4,16,8,4,32,4,32,4,2,8,2,16,2104
2,256,4,2,4,16,8,8,32,4,32,16,2,8,2,2,2112
2,256,4,2,4,16,16,2,32,4,32,16,2,8,4,0,2132
2,256,4,0,4,16,16,2,32,4,32,4,2,8,4,16,2136
2,256,4,0,4,16,16,2,32,4,32,4,2,8,4,16,2136
0,2,256,4,2,4,32,2,32,4,32,4,2,8,4,16,2168
0,0,2,4,2,2,256,2,32,8,64,4,2,8,4,16,2240
2,4,0,0,4,256,2,2,32,8,64,4,2,8,4,16,2244
2,0,2,4,0,4,256,4,32,8,64,4,2,8,4,16,2248
2,0,4,4,0,4,256,4,32,8,64,4,2,8,4,16,2252
0,0,4,0,2,2,256,4,32,4,64,8,2,16,4,16,2276
0,0,4,0,2,2,256,4,32,4,64,8,2,16,4,16,2276
0,0,4,0,2,2,256,4,32,4,64,8,2,16,4,16,2276
4,0,0,2,4,256,4,0,32,4,64,8,2,16,4,16,2280
0,0,0,4,8,256,4,2,32,4,64,8,2,16,4,16,2288
0,0,0,4,8,256,4,2,32,4,64,8,2,16,4,16,2288
8,256,4,4,32,4,64,2,2,16,4,8,2,0,0,16,2288
8,256,4,4,32,4,64,2,4,16,4,8,0,0,2,16,2292
8,256,4,4,32,4,64,2,4,16,4,8,0,0,2,16,2292
