0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0
2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4
4,4,0,0,0,0,2,0,0,0,0,0,2,0,0,0,8
0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,2,16
0,0,2,8,0,0,0,2,0,0,0,2,0,0,0,2,16
2,8,0,0,2,0,0,0,2,2,0,0,2,0,0,0,16
4,8,0,0,4,2,0,0,0,0,0,0,0,0,0,2,24
0,0,4,8,0,0,4,2,0,0,0,0,0,2,0,2,24
0,0,0,0,0,0,0,0,0,2,0,8,0,2,8,4,36
0,0,0,0,0,2,0,0,0,0,0,8,0,4,8,4,40
0,0,0,0,2,0,0,0,0,2,0,8,0,4,8,4,40
2,2,8,8,2,4,0,4,0,0,0,0,0,0,0,0,40
4,2,8,8,0,4,0,4,0,2,0,0,0,0,0,0,44
4,2,16,0,8,2,0,0,2,0,0,0,0,0,0,0,68
4,2,16,0,8,2,0,0,2,0,0,0,0,0,0,0,68
4,4,16,0,8,0,0,0,2,2,0,0,0,0,0,0,72
4,4,16,0,8,2,0,0,2,2,0,0,0,0,0,0,72
8,16,0,0,8,2,2,0,4,0,0,0,0,0,0,0,84
0,0,8,16,0,0,8,4,0,0,0,4,0,0,2,0,88
0,2,16,16,0,0,2,8,0,0,0,0,0,0,0,0,112
0,0,2,32,0,0,2,8,0,0,0,0,0,2,0,0,144
0,0,2,32,0,0,2,8,0,0,0,0,0,0,2,2,144
2,32,0,0,2,8,0,0,0,2,0,0,4,0,0,0,148
0,0,0,0,0,32,0,0,4,8,0,2,4,2,0,0,152
0,0,0,0,0,0,2,32,0,4,8,2,0,0,4,2,152
0,4,2,32,0,0,8,4,0,0,4,0,0,2,0,0,156
4,2,32,0,8,4,0,0,4,0,0,0,2,2,0,0,156
