0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0
0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,4,4
2,0,2,2,0,0,0,4,4,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,2,0,0,2,4,0,2,4,4
4,0,2,2,4,0,0,4,2,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,8,0,0,2,2,2,2,4,16
0,2,0,0,0,0,0,0,0,0,8,2,0,2,4,4,20
0,4,8,2,0,0,4,4,0,0,0,2,0,0,0,0,24
4,8,2,0,8,0,0,0,2,0,2,0,0,0,0,0,32
0,0,0,0,4,0,0,0,8,0,0,0,2,8,4,2,36
0,0,0,0,4,0,0,0,8,0,0,0,2,8,4,2,36
0,0,0,0,4,0,0,0,8,0,0,0,2,8,4,2,36
0,0,0,2,0,0,0,4,0,0,0,8,2,8,4,2,36
2,8,4,2,0,2,0,4,0,0,0,8,0,0,0,2,36
0,0,0,2,0,0,2,4,0,8,0,8,2,2,4,2,36
2,0,0,0,2,4,0,2,16,0,0,0,4,4,2,0,56
4,8,2,2,16,0,4,0,4,0,0,0,0,0,0,0,68
0,4,8,4,2,0,16,4,0,0,0,4,0,0,0,0,72
0,4,8,4,0,2,16,4,0,0,0,4,0,0,4,0,72
4,8,4,0,2,16,4,0,4,0,2,0,4,0,0,0,72
0,4,8,4,0,2,16,4,2,0,4,2,0,0,0,4,72
4,0,0,0,0,0,8,8,0,4,16,2,2,2,4,4,80
0,0,0,2,0,0,8,8,4,4,16,2,2,2,4,4,80
0,0,0,2,0,0,8,8,4,4,16,2,2,2,4,4,80
4,4,8,2,2,2,16,8,0,0,4,2,2,0,0,4,80
0,8,8,2,0,4,16,8,0,0,4,2,0,2,2,4,92
0,8,8,2,0,4,16,8,0,2,4,2,0,4,2,4,92
16,2,0,0,4,16,8,2,2,4,2,0,4,2,4,0,108
0,4,16,2,4,16,8,2,0,2,4,2,0,4,2,4,108
0,4,16,2,4,16,8,2,0,2,4,2,0,4,2,4,108
0,4,16,2,4,16,8,2,0,2,4,2,0,4,2,4,108
4,16,2,2,4,16,8,2,2,4,2,0,4,2,4,0,108
0,0,2,0,8,32,8,0,2,4,2,2,4,2,4,4,152
2,0,0,0,8,32,8,0,2,4,4,0,4,2,8,2,164
2,0,0,0,8,32,8,0,2,4,4,0,4,2,8,2,164
2,0,4,0,8,32,8,0,2,8,0,0,4,2,8,2,172
4,0,2,4,0,8,32,8,0,0,2,8,4,2,8,2,172
4,2,4,0,8,32,8,2,2,8,0,0,4,2,8,2,172
4,2,4,4,8,32,16,0,2,8,0,0,4,2,0,2,192
4,2,0,0,8,32,0,2,2,8,4,4,4,2,16,2,192
