0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,4
4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,4
0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,4,8
0,0,0,4,0,0,2,0,0,0,0,2,0,0,2,4,8
0,0,0,0,0,0,2,4,0,0,0,2,0,0,4,4,12
0,0,0,0,0,0,0,4,0,0,2,2,0,2,4,4,12
0,0,0,2,4,0,0,0,4,0,0,0,2,8,0,0,24
0,0,0,0,0,2,0,0,8,0,0,0,2,8,0,2,32
8,2,0,2,2,8,0,0,0,0,0,0,0,0,2,0,32
8,4,0,0,2,8,0,0,0,0,0,0,2,2,0,0,36
8,4,2,0,4,8,0,0,0,2,0,0,0,0,0,0,40
8,4,2,0,4,8,0,0,2,0,0,0,2,0,0,0,40
0,0,2,0,8,0,0,0,4,4,0,0,4,8,2,0,44
8,4,4,0,8,8,0,0,0,0,0,0,0,0,2,0,56
8,8,0,0,16,0,0,0,0,0,0,0,2,2,0,0,80
0,2,0,0,8,0,0,0,16,8,0,0,2,2,0,0,80
2,0,0,0,8,0,0,0,16,8,0,4,4,0,0,0,84
2,0,0,0,8,0,0,2,16,0,0,0,4,8,0,4,84
2,0,0,2,8,0,0,0,16,0,0,2,4,8,0,4,84
2,0,0,0,8,0,0,0,16,0,2,4,4,8,0,4,88
2,0,0,0,8,2,0,0,16,2,4,0,4,8,4,0,88
2,4,8,0,8,8,0,0,16,0,0,2,4,0,0,0,100
2,0,0,0,8,0,2,0,16,4,0,0,4,8,8,2,100
2,4,2,2,8,8,8,0,16,0,0,0,4,0,2,0,100
2,4,4,0,16,8,0,0,16,0,0,2,4,2,0,0,120
0,0,0,0,2,4,0,0,32,8,0,2,4,2,4,2,152
0,0,0,0,0,0,2,4,2,32,8,2,4,2,4,2,152
2,0,0,0,2,4,0,0,2,32,8,2,4,2,4,2,152
2,0,0,0,2,4,0,0,2,32,8,2,4,2,4,2,152
0,0,0,0,2,4,0,0,4,32,8,4,4,2,4,4,160
2,4,8,8,8,32,4,0,0,2,0,0,0,0,0,2,176
0,2,4,16,0,8,32,4,0,2,0,2,0,0,0,2,192
0,0,0,0,2,2,0,16,0,8,4,4,0,2,32,4,196
2,2,4,16,0,8,32,8,0,2,4,0,0,0,0,0,204
0,4,4,16,0,8,32,8,0,4,2,4,0,0,0,0,208
0,0,8,16,0,8,32,8,0,4,2,4,2,0,0,0,216
2,8,8,16,2,4,32,8,0,0,2,4,0,0,0,0,216
4,8,8,16,0,4,32,8,0,2,2,4,0,0,0,0,220
4,16,16,0,4,32,8,0,4,4,0,0,2,0,0,0,240
0,2,4,32,0,4,32,8,0,0,0,8,0,0,0,2,280
0,0,0,0,0,0,0,32,0,2,4,16,2,4,32,2,296
0,0,0,0,32,0,2,0,2,4,16,0,2,4,32,2,296
2,0,0,0,0,0,32,2,0,2,4,16,2,4,32,2,296
2,0,0,2,32,2,0,0,2,4,16,0,2,4,32,2,296
0,0,0,4,0,2,32,2,0,2,4,16,2,4,32,2,300
2,4,32,4,4,4,4,2,0,0,32,16,0,0,0,2,304
2,4,32,4,8,4,2,0,32,16,0,0,2,0,0,2,312
2,8,32,4,8,16,2,2,32,2,0,0,2,0,0,0,320
2,0,0,0,8,8,2,0,32,16,32,4,2,2,2,2,320
0,2,0,2,0,0,16,2,32,16,32,4,0,0,4,4,344
4,0,0,0,16,2,2,0,32,16,32,4,8,0,0,0,356
4,2,2,4,16,16,32,0,32,0,0,0,8,0,2,0,356
0,4,4,4,0,0,32,32,0,0,0,32,0,2,8,2,392
8,4,0,0,64,0,0,0,32,2,0,0,2,8,2,0,464
0,0,8,4,0,0,0,64,0,0,32,2,2,2,8,2,464
8,4,0,0,64,0,0,2,32,2,0,0,4,8,2,0,468
8,4,0,2,64,2,0,0,32,2,0,0,4,8,2,0,468
8,0,0,0,64,4,0,0,32,4,2,0,4,8,2,2,472
8,8,4,2,64,8,0,0,32,0,0,0,4,2,0,0,484
8,16,4,2,64,2,2,0,32,0,0,0,4,0,0,0,500
8,4,0,0,64,0,0,0,32,16,4,0,4,2,2,2,500
8,0,0,0,64,4,0,0,32,16,4,2,4,2,2,2,500
8,0,2,0,64,4,0,0,32,16,4,2,4,4,2,0,504
2,0,8,2,0,0,64,4,32,16,4,2,0,0,8,2,512
2,8,2,0,64,4,0,0,32,16,4,2,8,2,0,2,512
2,8,2,0,64,4,0,0,32,16,4,2,8,4,0,2,516
2,8,2,0,64,4,0,0,32,16,2,0,8,4,4,4,520
2,8,2,2,64,4,0,0,32,16,2,0,8,8,4,0,528
0,2,8,4,0,4,64,4,0,32,16,2,0,0,16,4,548
0,2,8,8,0,4,64,2,0,32,32,4,0,0,2,0,588
0,0,8,0,0,2,64,8,0,4,32,2,2,32,2,4,588
2,2,8,8,2,4,64,2,0,32,32,4,0,0,2,0,588
0,0,4,16,2,4,64,2,2,0,64,4,0,0,0,2,672
0,0,0,16,0,0,0,2,0,2,4,4,4,4,128,2,804
0,2,0,16,0,0,0,2,0,0,2,8,0,8,128,2,820
2,16,2,0,2,0,0,0,2,8,0,0,8,128,2,0,820
2,16,2,0,2,0,0,0,2,8,0,0,8,128,2,0,820
0,2,16,2,0,0,2,2,0,0,2,8,0,8,128,2,820
0,2,16,2,0,0,0,4,0,0,2,8,2,8,128,2,824
0,0,0,2,0,0,16,4,2,2,2,8,2,8,128,2,824
2,0,2,0,16,4,0,0,4,2,8,0,2,8,128,2,828
2,4,2,2,16,2,8,0,4,8,128,0,2,0,0,2,828
2,4,2,4,16,2,8,0,4,8,128,0,2,0,0,2,832
2,2,0,0,16,4,2,0,4,2,8,4,2,8,128,2,832
4,0,2,0,16,4,2,0,4,2,8,4,2,8,128,2,836
4,4,4,4,16,2,8,2,4,8,128,0,2,0,0,2,840
4,0,0,0,16,4,4,2,4,2,8,4,2,8,128,4,844
4,0,0,2,16,8,2,0,4,2,8,4,2,8,128,4,852
0,0,4,2,2,16,8,2,4,2,8,4,2,8,128,4,852
2,16,4,4,4,2,16,8,2,8,128,0,0,0,0,2,880
0,2,16,8,4,2,16,8,2,2,8,128,0,0,0,2,888
2,16,8,0,4,2,16,8,4,8,128,0,2,0,2,0,892
0,2,16,8,4,2,16,8,0,4,8,128,2,0,0,4,896
2,16,8,0,4,2,16,8,4,8,128,0,2,4,2,0,896
2,16,8,8,8,2,16,0,2,8,128,2,0,4,2,0,904
2,16,8,8,8,2,16,2,2,8,128,0,0,4,2,2,904
0,2,16,16,8,2,16,2,2,2,8,128,0,0,4,4,924
8,4,32,16,2,2,8,2,0,0,4,128,0,0,2,4,960
8,4,32,16,4,8,2,2,4,128,0,0,2,4,0,0,964
8,4,32,16,8,8,2,2,2,128,0,0,0,4,0,2,972
8,4,32,16,0,0,16,4,0,0,2,128,0,2,4,2,992
